title,year,conference
 Convex Deep Learning via Normalized Kernels,2014, In NIPS
 Breaking the Curse of Dimensionality with Convex Neural Networks,2014, In arXiv:1412
 Deep Online Convex Optimization with Gated Games,2016, In arXiv:1604
 Convex NeuralNetworks,2006, In NIPS
 Convex Optimization: Algorithms and Complexity,2015, Foundations and Trends in MachineLearning
 Iden-tifying and attacking the saddle point problem in high-dimensional non-convex optimization,2014, In NIPS
 Equilibrated adaptive learning rates for non-convex opti-mization,2015, In NIPS
 Adaptive Subgradient Methods for Online Learning and StochasticOptimization,2011, JMLR
 Noisy Activation Functions,2016, In ICML
 Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,2015, In ICCV
 Lecture 6a: Overview of minibatch gradient descent,2012, 2012
 Adam: A method for stochastic optimization,2015, In ICLR
 Deep learning,2015, Nature
 Estimating the Hessian by Backpropagating Curvature,2012, InICML
 Explaining NonLinear Classification Decisions withDeep Taylor Decomposition,2015, In arXiv:1512
 On the number of inference regionsof deep feed forward networks with piece-wise linear activations,2014, In ICLR
 A direct adaptive method for faster backpropagation learning: The RPROPalgorithm,1993, In IEEE Int Confon Neural Networks
 Understanding and Improving ConvolutionalNeural Networks via Concatenated Rectified Linear Units,2016, In ICML
 Very Deep Convolutional Networks for Large-Scale Image Recogni-tion,2015, In ICLR
 Dropout: ASimple Way to Prevent Neural Networks from Overfitting,2014, JMLR
 Going Deeper With Convolutions,2015, In CVPR
 Benefits of depth in neural networks,2016, In COLT
 Regularization of Neural Networks usingDropConnect,2013, In ICML
 Visualizing and Understanding Convolutional Networks,2014, In ECCV
 Convexified Convolutional Neural Networks,2016, InarXiv:1609
 Online Convex Programming and Generalized Infinitesimal Gradient Ascent,2003, In ICML
 Let X ⊂ Rp be a convex set contained in a ball of radius R,2015, Let` : X → R be a convex function
