title,year,conference
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Unsupervised learning for physical interactionthrough video prediction,2016, arXiv preprint arXiv:1605
 UnsUPervised monocular depth estima-tion with left-right consistency,2016, arXiv preprint arXiv:1609
 Neural turing machines,2014, arXiv preprintarXiv:1410
 SimPle-cell-like receptive fields maximize temporal coherencein natural video,2003, Neural Computation
 Video pixel networks,2016, arXiv preprint arXiv:1610
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Deep convolutionalinverse graphics network,2015, In Advances in Neural Information Processing Systems
 Deep predictive coding networks for video pre-diction and unsupervised learning,2016, arXiv preprint arXiv:1605
 Geometry-based next frame prediction frommonocular video,2016, arXiv preprint arXiv:1609
 Emergence of simple-cell receptive field properties by learning a sparsecode for natural images,1996, Nature
 Modeling image patches with a directed hierarchy ofmarkov random fields,2008, In Advances in neural information processing systems
 Learn-ing what and where to draw,2016, arXiv preprint arXiv:1610
 Unsupervised learning of 3d structure from images,2016, arXiv preprint arXiv:1607
 Fundamentals of computer graphics,2015, CRCPress
 Unsupervised learning of videorepresentations using lstms,2015, CoRR
