title,year,conference
 Evasion attacks against machine learning at test time,2013, In JointEuropean Conference on Machine Learning and Knowledge Discovery in Databases
 Adversarial classification,2004, InProceedings of the tenth ACM SIGKDD international conference on Knowledge discovery anddata mining
 Explaining and harnessing adversarialexamples,2014, CoRR
 Learning with a strong adver-sary,2015, CoRR
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, 2015
 Virtual adversarial training for semi-supervisedtext classification,2016, arXiv preprint arXiv:1605
 Distillationas a defense to adversarial perturbations against deep neural networks,2015, CoRR
 Practical black-box attacks against deep learning systems using adversarialexamples,2016, CoRR
 Imagenet large scale visualrecognition challenge,2014, arXiv preprint arXiv:1409
 Intriguing properties of neural networks,2014, ICLR
 Re-thinking the inception architecture for computer vision,2015, CoRR
