title,year,conference
 Deep generative image models using alaplacian pyramid of adversarial networks,2015, In Advances in neural information processing systems
 Adversarial feature learning,2016, arXiv preprintarXiv:1605
 Generating images with perceptual similarity metrics basedon deep networks,2016, arXiv preprint arXiv:1602
 Adversarially learned inference,2016, arXiv preprint arXiv:1606
 Image-to-image translation withconditional adversarial networks,2016, arxiv
 AUtoen-coding beyond pixels using a learned similarity metric,2015, arXiv preprint arXiv:1512
 Photo-realistic single image super-resolution using agenerative adversarial network,2016, arXiv preprint arXiv:1609
 Precomputed real-time texture synthesis with markovian generativeadversarial networks,2016, arXiv preprint arXiv:1604
 Deep multi-scale video prediction beyondmean square error,2015, arXiv preprint arXiv:1511
 Unrolled generative adversarialnetworks,2016, arXiv preprint arXiv:1611
 Conditional generative adversarial nets,2014, arXiv preprintarXiv:1411
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Temporal generative adversarial nets,2016, arXiv preprintarXiv:1611
 Amortisedmap inference for image super-resolution,2016, arXiv preprint arXiv:1610
 Generative image modeling using style and structure adversar-ial networks,2016, In ECCV
 Learninga probabilistic latent space of object shapes via 3d generative-adversarial modeling,2016, In NeuralInformation Processing Systems (NIPS)
 Learning temporal transformations from time-lapse videos,2016, InEuropean Conference on Computer Vision
 Generative visual manipula-tion on the natural image manifold,2016, In Proceedings of European Conference on Computer Vision(ECCV)
