title,year,conference
 Interactional feedback and the impact of attitude and motivation onnoticing l2 form,2011, English Language and Literature Studies
 Evaluating prerequisite qualities for learning end-to-end dialog sys-tems,2015, arXiv preprint arXiv:1511
 Pomdp-based dialogue manager adaptation to extendeddomains,2013, In Proceedings of SIGDIAL
 Incremental on-line adaptation of pomdp-baseddialogue managers to extended domains,2014, In Proceedings on InterSpeech
 Teaching machines to read and comprehend,2015, In Advances inNeural Information Processing Systems
 Learning dialogue strategies within themarkov decision process framework,1997, In Automatic Speech Recognition and Understanding
 A stochastic model of human-machine in-teraction for learning dialog strategies,2000, IEEE Transactions on speech and audio processing
 Key-value memory networks for directly reading documents,2016, arXiv preprintarXiv:1606
 Playing atari with deep reinforcement learning,2013, arXiv preprintarXiv:1312
 Sequence level train-ing with recurrent neural networks,2015, arXiv preprint arXiv:1511
 A survey of statistical user sim-ulation techniques for reinforcement-learning of dialogue management strategies,2006, The knowledgeengineering review
 Continuously learning neural dialogue management,2016, arXivpreprint arXiv:1606
 End-to-end memory networks,2015, In Advancesin neural information processing systems
 A trainable generator for recommendationsin multimodal dialog,2003, In INTERSPEECH
 Dialog-based language learning,2016, arXiv preprint arXiv:1604
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 PomdP-based statistical spokendialog systems: A review,2013, Proceedings ofthe IEEE
 Reinforcement learning neural turing machines,2015, arXivpreprint arXiv:1505
