title,year,conference
 Tensorflow: Large-scale machine learning on heterogeneous distributed systems,2016, CoRR
 Proximal alternating linearized minimization for nonconvexand nonsmooth problems,0025, Math
 Parallel coordinate descent for l1-regularized loss minimization,2011, In Proceedings of the 28th International Conference on Machine Learning
 The restricted isometry property and its implications for compressed sensing,1631, ComptesRendus Mathematique
 Return of the devil in the details: Delving deep intoconvolutional nets,2014, In British Machine Vision Conference
 Sparse representation and learning in visual recognition:Theory and applications,0165, Signal Process
 Spectral Graph Theory,1997, American Mathematical Society
 An iterative thresholding algorithm for linear inverse problemswith a sparsity constraint,1097, Comm
 Sparse manifold clustering and embedding,2011, In NIPS
 Laplacian regularized gaussian mixturemodel for data clustering,1041, Knowledge and Data Engineering
 Locally linear hashing for extracting non-linearmanifolds,2014, In 2014 IEEE Conference on Computer Vision and Pattern Recognition
 Robust single imagesuper-resolution via deep networks with sparse prior,2016, IEEE Trans
 Gaussian mixture model with local consistency,2010, In AAAI
 Linear spatial pyramid matching using sparsecoding for image classification,2009, In CVPR
 Low-rank sparse coding forimage classification,2013, In IEEE International Conference on Computer Vision
 Graph regularizedsparse coding for image representation,2011, IEEE Transactions on Image Processing
 Locality preserving clustering for imagedatabase,2004, In Proceedings of the 12th Annual ACM International Conference on Multimedia
 Semi-supervised learning using gaussian fields andharmonic functions,2003, In Machine Learning
