title,year,conference
 Lasagne: First release,2015,
 Image Quilting for Texture Synthesis and Transfer,2001, Proceedings ofSIGGRAPH 2001
 Texture synthesis using convolutional neural networks,2015, In Advancesin Neural Information Processing Systems 28
 A neural algorithm of artistic style,2015, CoRR
 Texture features for image classification,1973, IEEE Transactions onSystems
 Perceptual losses for real-time style transfer and super-resolution,2016, CoRR
 Image features from phase congruency,1999, Videre
 Graphcut textures: Image and video synthesis usinggraph cuts,2003, ACM Transactions on Graphics
 Quantitative evaluation on near regulartexture synthesis,2006, In CVPR ’06
 Analysis and synthesis of textures: A co-occurrence-based approach,1995, Computers and Graphics
 The importance of phase in signals,0018, Proceedings of the IEEE
 A parametric texture model based on joint statistics of complex wavelet coeffi-cients,2000, Int
 Fields of experts: A framework for learning image priors,2005, In IEEE Conf
 Very deep convolutional networks for large-scale image recognition,2014, CoRR
 Texture networks: Feed-forward synthesis of texturesand stylized images,2016, In International Conference on Machine Learning (ICML)
 Texture synthesis using shallow convolutionalnetworks with random filters,2016, CoRR
 L-bfgs-b - fortran subroutines for large-scalebound constrained optimization,1994, Technical report
