title,year,conference
 Practical Bayesian optimization of machine learningalgorithms,2012, In Proc
 Taking the human out of the loop:A Review of Bayesian Optimization,2016, Proc
 Freeze-thaw Bayesian optimization,2014, CoRR
 Speeding up automatic hyperparameter optimization ofdeep neural networks by extrapolation of learning curves,2015, In Q
 Hyperband: Bandit-basedconfiguration evaluation for hyperparameter optimization,2017, In Proc
 Fast Bayesian optimization of machinelearning hyperparameters on large datasets,2017, In Proc
 Multi-task Bayesian optimization,2013, In Proc
 Initializing Bayesian hyperparameter optimization viameta-learning,2015, In Proc
 Sequential model-based optimization for general algorithmconfiguration,2011, In LION’11
 Scalable Bayesian optimization using deep neural networks,2015, In Proc
 Bayesian optimization with robust Bayesianneural networks,2016, In Proc
 Probabilistic backpropagation for scalable learning of Bayesianneural networks,2015, In Proc
 Bayesian learning via stochastic gradient Langevin dynamics,2011, In Proc
 Stochastic gradient Hamiltonian Monte Carlo,2014, In Proc
 emcee : The MCMC Hammer,2013, PASP
 Random forests,2001, MLJ
 Algorithm runtime prediction: Methods andevaluation,2014, AIJ
 Learning multiple layers of features from tiny images,2009, Technical report
 Gradient-based learning applied to documentrecognition,2001, In S
 Auto-encoding variational bayes,2014, In Proc
 Non-stochastic best arm identification and hyperparameter optimiza-tion,2016, In Proc
 Efficient benchmarking of hyperpa-rameter optimizers via surrogates,2015, In Proc
