title,year,conference
 Learning to learn by gradient descent by gradient descent,2016, In Advances inNeural Information Processing Systems
 Inference suboptimality in variational autoen-coders,2017, NIPS Workshop on Advances in Approximate Bayesian Inference
 Draw: Arecurrent neural network for image generation,2015, Proceedings of the 32nd International Conferenceon Machine Learning
 Towardsconceptual compression,2016, In Advances In Neural Information Processing Systems
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2016, Fifth International Conference on Learning Representations
 An introduction tovariational methods for graphical models,1998, NATO ASI SERIES D BEHAVIOURAL AND SOCIALSCIENCES
 Deep variationalbayes filters: Unsupervised learning of state space models from raw data,2017, Fifth InternationalConference on Learning Representations
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Stochastic gradient vb and the variational auto-encoder,2014, InSecond International Conference on Learning Representations
 Learning multiple layers of features from tiny images,2009, 2009
 One-shot learning by inverting acompositional causal process,2013, In Advances in Neural Information Processing Systems
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS workshop on deep learningand unsupervised feature learning
 Stochastic backpropagation and ap-proximate inference in deep generative models,2014, Proceedings of the 31st International Conferenceon Machine Learning
 Laddervariational autoencoders,2016, In Advances in Neural Information Processing Systems
 Training very deep networks,2015, InAdvances in neural information processing systems
 Visual dynamics: Probabilisticfuture frame synthesis via cross convolutional networks,2016, In Advances in Neural InformationProcessing Systems
