title,year,conference
 Tensorflow: Large-scale machinelearning on heterogeneous distributed systems,2016, arXiv preprint arXiv:1603
 Unitary evolution recurrent neural networks,2016, InInternational Conference on Machine Learning
 Distributed second-order optimization using kronecker-factored approximations,2016, 2016
 Low-rank passthrough neural networks,2016, arXiv preprintarXiv:1603
 Learning long-term dependencies with gradientdescent is difficult,1994, IEEE transactions on neural networks
 Theano: Deeplearning on gpus with python,2011, 2011
 Empirical evaluation ofgated recurrent neural networks on sequence modeling,2014, arXiv preprint arXiv:1412
 Gated feedback recurrentneural networks,2015, In ICML
 Parsevalnetworks: Improving robustness to adversarial examples,2017, arXiv preprint arXiv:1704
 Low precision storage for deeplearning,2014, Arxiv: 1412
 Predicting parameters in deeplearning,2013, In Advances in Neural Information Processing Systems
 Finding structure in time,1990, Cognitive science
 Framewise phoneme classification with bidirectional lstm andother neural network architectures,2005, Neural Networks
 A kronecker-factored approximate fisher matrix for convolutionlayers,2016, In International Conference on Machine Learning
 Orthogonal RNNs and long-memory tasks,2016, arXivpreprint arXiv:1602
 Untersuchungen zu dynamischen neuronalen Netzen,1991, PhD thesis
 Long short-term memory,1997, Neural computation
 The echo state approach to analysing and training recurrent neural networks-with anerratum note,2001, Bonn
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Imagenet classification with deep convolu-Honal neural networks,2012, In Advances in neural information processing Systems
 Fastfood-approximating kernel expansions in loglineartime,2013, In Proceedings of the international conference on machine learning
 A simple way to initialize recurrent networks ofrectified linear units,2015, arXiv preprint arXiv:1504
 Optimal brain damage,1990, In Advances in neuralinformation processing systems
 Building a large annotatedcorpus of english: The penn treebank,1993, Computational linguistics
 Optimizing neural networks with kronecker-factored approximatecurvature,2015, In International Conference on Machine Learning
 Efficient orthogo-nal parametrisation of recurrent neural networks using householder reflections,2016, arXiv preprintarXiv:1612
 Statistical Language Models Based on Neural Networks,2012, PhD thesis
 On the difficulty of training recurrent neuralnetworks,2013, ICML (3)
 Highway networks,2015, arXiv preprintarXiv:1505
 On orthogonality and learningrecurrent networks with long term dependencies,2017, arXiv preprint arXiv:1702
 Scalable trust-regionmethod for deep reinforcement learning using kronecker-factored approximation,2017, arXiv preprintarXiv:1708
 Deep fried convnets,2015, In Proceedings of the IEEE International Conference on ComputerVision
 Fast orthogonalprojection based on kronecker product,2015, In Proceedings of the IEEE International Conference onComputer Vision
 Exploiting local structures with thekronecker layer in convolutional networks,2015, arXiv preprint arXiv:1512
 Recurrenthighway networks,2016, arXiv preprint arXiv:1607
