title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, ICLR
 Designing neural network architec-tures using reinforcement learning,2016, ICLR 2017
 SMASH: one-shot modelarchitecture search through hypernetworks,2017, arXiv preprint
 Reinforcement learning forarchitecture search by network transformation,2017, 2017
 Net2net: Accelerating learning via knowledgetransfer,2015, arXiv preprint
 Shake-shake regularization,2017, ICLR 2017 Workshop
 Deep residual learning for image recog-nition,2016, CVPR
 Deepneural networks for acoustic modeling in speech recognition,2012, IEEE Signal Processing Magazine
 Learning curve prediction with Bayesian neu-ral networks,2017, In International Conference on Learning Representations (ICLR) 2017 ConferenceTrack
 Imagenet classification with deep convo-lutional neural networks,2012, In F
 Efficient hyperparameteroptimization and infinitely many armed bandits,2016, CoRR
 Efficienthyperparameter optimization and infinitely many armed bandits,2016, arXiv preprint
 Sgdr: Stochastic gradient descent with warm restarts,2017, In InternationalConference on Learning Representations (ICLR) 2017 Conference Track
 Towards automatically-tunedneural networks,2016, In AutoML
 Large-scale evolution of image classifiers,2017, arXiv preprint
 Convolutional neural fabrics,2016, arXiv preprint
 Practical Bayesian optimization of machine learningalgorithms,2012, In NIPS
 A genetic programming approachto designing convolutional neural network architectures,2017, arXiv preprint
 Network morphism,2016, arXiv preprint
 Wide residual networks,2016, arXiv preprint
 Neural architecture search with reinforcement learning,2017, 2017
 Learning transferable architecturesfor scalable image recognition,2017, 2017
