title,year,conference
 Stochastic problems in physics and astronomy,1943, Reviews of modernphysics
 On learning optimized reaction diffusion processes foreffective image restoration,2015, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Ten lectures on wavelets,1992, SIAM
 Deep learning,2016, MIT press
 Stable architectures for deep neural networks,2017, arXiv preprintarXiv:1705
 Identity mappings in deep residualnetworks,2016, In European Conference on Computer Vision
 Network in network,2013, arXiv preprint arXiv:1312
 Beyond finite layer neural networks:Bridging deep architectures and numerical differential equations,2017, ArXiv preprint
 Hidden physics models: Machine learning of nonlinearpartial differential equations,2017, arXiv preprint arXiv:1708
 Data-driven discovery ofpartial differential equations,2017, Science Advances
 Distilling free-form natural laws from experimental data,2009, science
 Double continuum limit of deep neural networks,2017, ICML Workshopon Principled Approaches to Deep Learning
 Learning physics by data for the motion of a sphere falling in anon-newtonian fluid non-newtonian fluid,2017, preprint
