title,year,conference
 2d human poseestimation: New benchmark and state of the art analysis,2014, In CVPR
 Geo-metric deep learning: going beyond euclidean data,2016, arXiv preprint arXiv:1611
 Spectral networks and locallyconnected networks on graphs,2013, arXiv preprint arXiv:1312
 Identifying and attacking the saddle point problem in high-dimensional non-convexoptimization,2014, In NIPS
 Distribution of shortest paths in percolation,0378, Physica A: Statistical Mechanicsand its Applications
 Using occupancy grids for mobile robot perception and navigation,1989, Computer
 Probabilistic machine learning and artificial intelligence,2015, Nature
 Neural turing machines,2014, CoRR
 Hybrid computing using a neural netWork With dynamic external memory,2016, Nature
 Deep convolutional networks on graph-structureddata,2015, arXiv preprint arXiv:1506
 Structural-rnn: Deep learningon spatio-temporal graphs,2016, In CVPR
 Localization: theory and experiment,1993, Reports on Progressin Physics
 Deep learning,2015, Nature
 Gated graph sequence neuralnetworks,2015, arXiv preprint arXiv:1511
 Geodesicconvolutional neural networks on riemannian manifolds,2015, In ICCV Workshop
 Shapenet:Convolutional neural networks on non-euclidean manifolds,2015, Technical report
 All you need is a good init,2015, CoRR
 Deep neural networks are easily fooled: Highconfidence predictions for unrecognizable images,2015, In CVPR
 Value prediction network,2017, In NIPS
 Deepwalk: Online learning of social representa-tions,2014, In ACM SIGKDD
 Distilling free-form natural laws from experimental data,2009, science
 On the history of the shortest path problem,2012, Doc
 Local minima in training ofdeep networks,2016, arXiv preprint arXiv:1611
 The simplicity ofplanar networks,2013, Nature Scientific Reports
 Memory networks,2014, CoRR
 Graph reachability queries: A survey,2010, In Managing and MiningGraph Data
 Understandingdeep learning requires rethinking generalization,2016, arXiv preprint arXiv:1611
