title,year,conference
 Adversarial feature learning,2017, In InternationalConference on Learning Features (ICLR)
 Stacked generativeadversarial networks,2016, arXiv preprint arXiv:1612
 Auto-encoding variational bayes,2014, In International Conferenceon Learning Representations (ICLR)
 Learning multiple layers of features from tiny images,2009, 2009
 Improved generatorobjectives for gans,2016, arXiv preprint arXiv:1612
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Bounds on birthday attack times,2005, 2005
 On the quantitative analysis ofdecoder-based generative models,2016, arXiv preprint arXiv:1611
 Lsun:Construction of a large-scale image dataset using deep learning with humans in the loop,2015, arXivpreprint arXiv:1506
 Understanding deep learning requiresrethinking generalization,2017, In ICLR
