title,year,conference
 Tensorflow: Large-scale machinelearning on heterogeneous distributed systems,2016, arXiv preprint arXiv:1603
 Variancereduction in sgd by distributed importance sampling,2015, arXiv preprint arXiv:1511
 Reinforcementlearning through asynchronous advantage actor-critic on a gpu,2017, In International Conference onLearning Representations
 Distributional policy gradients,2018, InInternational Conference on Learning Representations
 The arcade learning envi-ronment: An evaluation platform for general agents,2013, J
 A distributional perspective on reinforcementlearning,2017, In International Conference on Machine Learning
 Efficient parallelmethods for deep reinforcement learning,2017, arXiv preprint arXiv:1705
 Largescale distributed deep networks,2012, In Proceedings of the 25th International Conference on NeuralInformation Processing Systems
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Rainbow: Combining improvements indeep reinforcement learning,2017, arXiv preprint arXiv:1710
 Learning from demonstrations for real world reinforcement learning,2017, CoRR
 Reinforcement learning with unsupervised auxiliary tasks,2017, InInternational Conference on Learning Representations
 One model to learn them all,2017, CoRR
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Asynchronous methods for deep reinforcementlearning,2016, In International Conference on Machine Learning
 Massively parallel methods for deepreinforcement learning,2015, arXiv preprint arXiv:1507
 Adaptive critic designs,1997, IEEE transactions on NeuralNetworks
 Prioritized experience replay,2016, InInternational Conference on Learning Representations
 Masteringthe game of go with deep neural networks and tree search,2016, Nature
 On the theory of the brownian motion,1930, Physicalreview
 Deep reinforcement learning with double Q-learning,2016, In Advances in Neural Information Processing Systems
 Sample efficient actor-critic with experience replay,2017, In InternationalConference on Learning Representations
 A menu of designs for reinforcement learning over time,1990, Neural networks for control
