title,year,conference
 Translating neuralese,2017, In Proceedings of the 55thAnnual Meeting ofthe Associationfor Computational Linguistics
 Deep canonical correlation anal-ysis,2013, In Proceedings of the 30th International Conference on Machine Learning
 Multimodal attention for neural machine trans-lation,2016, arXiv preprint arXiv:1609
 Doubly-attentive decoder for multi-modal neural ma-chine translation,2017, In Proceedings of the 55th Annual Meeting of the Association for ComputationalLinguistics
 Multilingual multi-modal embeddings for natural lan-guage processing,2017, arXiv preprint arXiv:1702
 Correlationalneural networks,2016, Neural Computation
 Microsoft COCO captions: Data collection and evaluation server,2015, arXivpreprint arXiv:1504
 On the propertiesof neural machine translation: Encoder-decoder approaches,2014, In Proceedings of the 8th Workshopon Syntax
 Learning cooperativevisual dialog agents with deep reinforcement learning,2017, arXiv preprint arXiv:1703
 Imagination improves multimodal translation,2017, arXiv preprintarXiv:1705
 Findings of thesecond shared task on multimodal machine translation and multilingual image description,2017, InProceedings of the Second Conference on Machine Translation
 Convolutionalsequence to sequence learning,2017, In Proceedings of the 34th International Conference on MachineLearning
 Image Pivoting for LearningMultilingual Multimodal Representations,2017, In Proceedings of the 2017 Conference on EmpiricalMethods in Natural Language Processing
 Emergence of language with multi-agent games: Learning to com-municate with sequences of symbols,2017, In Proceedings of the International Conference on LearningRepresentations Workshop Track
 Dual learningfor machine translation,2016, In Advances in Neural Information Processing Systems
 Multimodal pivots for image captiontranslation,2016, In Proceedings of the 54th Annual Meeting of the Association for ComputationalLinguistics
 Categorical Reparameterization with Gumbel-Softmax,2017, InProceedings of the International Conference on Learning Representations
 Learning to play guess who? and inventinga grounded language as a consequence,2016, arXiv preprint arXiv:1611
 Deep visual-semantic alignments for generating image descrip-tions,2015, In IEEE Conference on Computer Vision and Pattern Recognition
 Learning visually groundedsentence representations,2017, arXiv:1707
 Adam: A method for stochastic optimization,2014, In Proceedings ofthe 3rd International Conference for Learning Representations
 Unifying visual-semantic embeddingswith multimodal neural language models,2014, arXiv:1411
 Natural language does not emerge’naturally’ in multi-agent dialog,2017, In Proceedings of the 2017 Conference on Empirical Methodsin Natural Language Processing
 Deal or no deal? end-to-end learning for negotiation dialogues,2017, In Proceedings of the 2017 Conference on EmpiricalMethods in Natural Language Processing
 Multi-agent actor-critic for mixed cooperative-competitive environments,2017, arXiv preprint arXiv:1706
 Multimodal convolutional neural networksfor matching image and sentence,2015, In 2015 IEEE International Conference on Computer Vision
 The concrete distribution: A continuous relax-ation of discrete random variables,2017, In Proceedings of the International Conference on LearningRepresentations
 Emergence of grounded compositional language in multi-agentpopulations,2017, arXiv preprint arXiv:1705
 On the difficulty of training recurrent neuralnetworks,2013, In Proceedings of the 30th International Conference on Machine Learning
 Bridgecorrelational neural networks for multilingual multimodal representation learning,2016, In NAACL HLT2016
 Neural machine translation of rare words withsubword units,2015, In Proceedings of the 54th Annual Meeting of the Association for ComputationalLinguistics
 Learning multiagent communication withbackpropagation,2016, In Advances in Neural Information Processing Systems
 Order-embeddings of images andlanguage,2015, arXiv:1511
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
