title,year,conference
 A theory of learning from different domains,2010, Machine learning
 Un-supervised pixel-level domain adaptation with generative adversarial networks,2017, In CVPR
 Semi-supervised classification by low density separation,2005, InAISTATS
 The cityscapes dataset for semanticurban scene understanding,2016, In CVPR
 Good semi-supervised learning that requires a bad gan,2017, arXiv preprint arXiv:1705
 Imagenet: A large-scalehierarchical image database,2009, In CVPR
 Adversarially learned inference,2016, arXiv preprint arXiv:1606
 Unsupervised domain adaptation by backpropagation,2014, InICML
 Domain-adversarial training of neural net-works,2016, JMLR
 Generative adversarial nets,2014, In NIPS
 Explaining and harnessing adversarialexamples,2014, In ICLR
 Semi-supervised learning by entropy minimization,2005, In NIPS
 Deep residual learning for image recog-nition,2016, In CVPR
 Fcns in the wild: Pixel-level adversar-ial and constraint-based adaptation,2016, arXiv preprint arXiv:1612
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In ICML
 Transductive inference for text classification using support vector machines,1999, InICML
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Coupled generative adversarial networks,2016, In NIPS
 Fully convolutional networks for semanticsegmentation,2015, In CVPR
 Learning transferable featureswith deep adaptation networks,2015, In ICML
 Unsupervised domain adaptationwith residual transfer networks,2016, In NIPS
 Deep transfer learning with joint adaptationnetworks,2017, In ICML
 Auxiliary deep gen-erative models,2016, arXiv preprint arXiv:1602
 Visualizing data using t-sne,2008, JMLR
 Distributionalsmoothing with virtual adversarial training,2016, 2016
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS workshop on deep learningand unsupervised feature learning
 Scikit-learn: Machine learning in python,2011, JMLR
 Playing for data: Ground truthfrom computer games,2016, In ECCV
 Asymmetric tri-training for unsuperviseddomain adaptation,2017, In ICML
 Learning transferrable repre-sentations for unsupervised domain adaptation,2016, In NIPS
 Unsupervised and semi-supervised learning with categorical generativeadversarial networks,2015, arXiv preprint arXiv:1511
 Deep coral: Correlation alignment for deep domain adaptation,2016, InECCV 2016 Workshops
 Return of frustratingly easy domain adaptation,2016, InAAAI
 Unsupervised cross-domain image generation,2016, InICLR
 Deep domain confusion:Maximizing for domain invariance,2014, arXiv preprint arXiv:1412
 Adversarial discriminative domainadaptation,2017, In CVPR
 Aggregated residual trans-formations for deep neural networks,2016, arXiv preprint arXiv:1611
 Mind theclass Weight bias: Weighted maximum mean discrepancy for unsupervised domain adaptation,2017, InCVPR
 Dilated residual netWorks,2017, In CVPR
 From Fig,2018, 10(a)
