title,year,conference
 Comment on” biologically inspired protection of deep net-works from adversarial attacks”,2017, arXiv preprint arXiv:1704
 Multi-column deep neural networks for imageclassification,2012, In Computer Vision and Pattern Recognition (CVPR)
 High-performance neural networks for visual object classification,2011, arXiv preprint arXiv:1102
 Deformableconvolutional networks,2017, arXiv preprint arXiv:1703
 Dynamic filter networks,2016, InNeural Information Processing Systems (NIPS)
 Rotation-invariant neoperceptron,2006, In Pattern Recognition
 Deep symmetry networks,2014, In Advances in neural informationprocessing systems
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 A quadratic loss multi-class svm for which a radius-margin bound applies,2011, Informatica
 Spatial transformernetworks,2015, In Advances in Neural Information Processing Systems
 Learning multiple layers of features from tiny images,2009, 2009
 Handwritten digit recognition with a back-propagation net-work,1990, In Advances in neural information processing systems
 Learning methods for generic object recognition withinvariance to pose and lighting,2004, In Computer Vision and Pattern Recognition
 Attention is all you need,2017, In Neural Information ProcessingSystems (NIPS)
 Harmonicnetworks: Deep translation and rotation equivariance,2017, In The IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
