title,year,conference
 Intrinsically motivated learning innatural and artificial systems,2013, Springer
 R-IAC: Robust intrinsically motivated exploration andactive learning,2009, IEEE Transactions on Autonomous Mental Development
 Active learning of inverse models with intrinsically mo-tivated goal exploration in robots,2013, Robotics and Autonomous Systems
 Curiosity and exploration,1966, Science
 Online Algorithms and Stochastic Approximations,1998, In Online Learning and NeuralNetworks
 Auto-association by multilayer perceptrons and singular valuedecomposition,0340, Biological Cybernetics
 The intentional unintentional agent: Learning to solve many continuous control taskssimultaneously,2017, CoRR
 Developmental robotics: From babiesto robots,2015, MIT Press
 Intrinsically motivated reinforcementlearning,2005, In Advances in neural information processing systems
 Reverse curriculum generationfor reinforcement learning,2017, arXiv preprint arXiv:1707
 Intrinsically motivated goal explo-ration processes with automatic curriculum learning,2017, CoRR
 Vime:Variational information maximizing exploration,2016, In Advances in Neural Information ProcessingSystems
 Dynamicalmovement primitives: learning attractor models for motor behaviors,1530, Neural computation
 Motivational principles for visual know-how develop-ment,2003, 2003
 Adam: a Method for Stochastic Optimization,0925, InternationalConference on Learning Representations 2015
 Multidimensional scaling by optimizing goodness of fit to a nonmetric hypoth-esis,0033, Psychometrika
 Information driven self-organization of complex roboticbehaviors,2013, PloS one
 A predictive coding framework for a developmental agent:Speech motor skill acquisition and speech production,2017, Speech Communication
 Socially guided intrinsic motivation for robot learning ofmotor skills,2014, AutonomousRobots
 What is intrinsic motivation? A typology of com-putational approaches,1662, Frontiers in Neurorobotics
 How evolution may work through curiosity-driven devel-opmental process,2016, Topics in Cognitive Science
 Intrinsic motivation systems forautonomous mental development,1089, IEEE Transactions on Evolutionary Computation
 Intrinsically motivated learning of real-world sensorimotor skills with developmental constraints,2013, In Intrinsically motivated learning innatural and artificial systems
 Curiosity-driven explorationby self-supervised prediction,2017, In Proceedings of the seventh international conference on machinelearning
 Variational inference with normalizing flows,2015, In ICML
 Stochastic backpropagation and approxi-mate inference in deep generative models,2014, In ICML
 Goal babbling permits direct learning of inversekinematics,2010, IEEE Transactions on Autonomous Mental Development
 Computational approaches to motor learning byimitation,2003, Philosophical Transactions of the Royal Society of London B: Biological Sciences
 Laddervariational autoencoders,2016, Feb 2016
 A global geometric framework fornonlinear dimensionality reduction,2000, Science
