title,year,conference
 Group equivariant convolutional networks,2016, Proceedings of theInternational Conference on Machine Learning (ICML)
 Quasi-interpolating spline models for hexagonally-sampled data,2007, IEEE Transactions on Image Processing
 Exploiting cyclic symmetry in convo-lutional neural networks,2016, arXiv preprint arXiv:1602
 Polar transformernetworks,2017, arXiv preprint arXiv:1709
 Deep symmetry networks,2014, In Advances in neural informationprocessing systems
 Warped convolutions: Efficient invariance to spatial trans-formations,2016, arXiv preprint arXiv:1609
 Deep rotation equivariant network,2017, arXivpreprint arXiv:1705
 Object recognition from local scale-invariant features,1999, In Computer vision
 Rotation equivariant vector fieldnetworks,2016, arXiv preprint arXiv:1612
 The processing of hexagonally sampled two-dimensional signals,1979, Proceedingsof the IEEE
 Sampling and reconstruction of wave-number-limitedfunctions in n-dimensional euclidean spaces,1962, Information and control
 Equivariance through parameter-sharing,2017, arXiv preprint arXiv:1702
 Harmonicnetworks: Deep translation and rotation equivariance,2016, arXiv preprint arXiv:1612
 Aid: A benchmark data set for performance evaluation of aerial scene classifica-tion,2017, IEEE Transactions on Geoscience and Remote Sensing
 Oriented response networks,2017, arXiv preprintarXiv:1701
