title,year,conference
 Deepmind lab,2016, arXiv preprint arXiv:1612
 Understanding disentangling in β-VAE,2017, NIPS Workshop of Learning DisentangledFeatures
 Towards deep symbolic reinforcement learning,2016, arXivpreprint arXiv:1609
 Draw: A recurrent neuralnetwork for image generation,2015, ICML
 Deep residual learning for image recognition,2016, CVPR
 Reinforcement learning with unsupervised auxiliary tasks,2017, ICLR
 Adam: A method for stochastic optimization,2015, ICLR
 Auto-encoding variational bayes,2014, ICLR
 Semi-supervised learningwith deep generative models,2014, NIPS
 Human-level concept learning throughprobabilistic program induction,2015, Science
 Building machines thatlearn and think like people,2016, Behavioral and Brain Sciences
 Deep learning face attributes in the wild,2015, ICCV
 Distributed representations of wordsand phrases and their compositionality,2013, NIPS
 Human-level control through deep reinforcement learning,2015, Nature
 Asynchronous methods for deep reinforcement learning,2016, ICML
 Wavenet: A generative model for raw audio,2016, arXiv preprintarXiv:1609
 Variational methods for conditional multimodal deep learning,2017, IJCNN
 Context encoders:Feature learning by inpainting,2016, CVPR
 Invertible conditional gans forimage editing,2016, NIPS Workshop on Adversarial Training
 Learning deep representations of fine-grained visualdescriptions,2016, CVPR
 Generativeadversarial text-to-image,2016, ICML
 Stochastic backpropagation and approximateinference in deep generative models,2014, ICML
 Learning structured output representation using deep conditionalgenerative models,2015, NIPS
 Principles of object perception,1990, Cognitive science
 Joint multimodal learning with deep generativemodels,2017, ICLR Workshop track
 Going deeper with convolutions,2015, CVPR
 Bayesian modeling of human concept learning,1999, NIPS
 Generative models of visuallygrounded imagination,2017, arXiv preprint arXiv:1705
 Attribute2image: Conditional image generationfrom visual attributes,2016, ECCV
