title,year,conference
 Distributed Second-Order Optimization usingKronecker-Factored Approximations,2017, In International Conference on Learning Respresentations(ICLR)
 Layer normalization,2016, CoRR
 Revisiting distributed Syn-chronous SGD,2016, CoRR
 Large scale distributed deep networks,2012, In Advances inneural information processing systems
 Distilling the knowledge in a neural network,2015, CoRR
 On large-batch training for deeP learning: Generalization gaP and sharP minima,2017, InInternational Conference on Learning Respresentations (ICLR)
 Adam: A method for stochastic oPtimization,2014, CoRR
 Efficient backprop,2012, InNeural networks: Tricks ofthe trade
 Communication-efficient learning of deep networks from decentralized data,2017, In Aarti Singhand Xiaojin (Jerry) Zhu (eds
 Regularizingneural networks by penalizing confident output distributions,2017, CoRR
 Japanese and korean voice search,2012, In Acoustics
 Machine learning: The high interest credit card of technicaldebt,2014, In SE4ML: Software Engineering for Machine Learning (NIPS 2014 Workshop)
 Deep mutual learning,2017, CoRR
