title,year,conference
 Made: Masked autoencoderfor distribution estimation,2015, In Proceedings of The 32nd International Conference on MachineLearning
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Stochastic gradient vb and the variational auto-encoder,2014, InSecond International Conference on Learning Representations
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 The neural autoregressive distribution estimator,2011, In InternationalConference on Artificial Intelligence and Statistics
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 A simple checkerboard suppression algorithm for evolutionarystructural optimization,2001, Structural and Multidisciplinary Optimization
 Microsoft coco: Common objects in context,2014, In EuropeanConference on Computer Vision
 Learning deconvolution network for seman-tic segmentation,2015, In IEEE International Conference on Computer Vision
 Deconvolution and checkerboard arti-facts,2016, Distill
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Parallel multiscale autoregressive density estimation,2017, arXiv preprintarXiv:1703
 FUlly convolUtional networks for semanticsegmentation,2016, IEEE transactions on pattern analysis and machine intelligence
 Real-time single image and video sUper-resolUtion Using an efficientsub-pixel convolutional neural network,2016, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Condi-tional image generation with pixelcnn decoders,2016, In Advances in Neural Information ProcessingSystems
 Adaptive deconvolutional networks for midand high level feature learning,2011, In Computer Vision (ICCV)
