title,year,conference
 Scaling learning algorithms towards AI,2007, In Large Scale KernelMachines
 Sentibank: Large-scale ontology andclassifiers for detecting sentiment and emotions in visual content,2013, In ACM
 Stumbling On Happiness,2006, A
 A bit of progress in language modeling,2001, Computer Speech and Language
 Multimodal semi-supervised learningfor image classification,2010, In CVPR
 Long short-term memory,1997, In Neural Computation
 Hearing lips and seeing voices,1976, In Nature
 Exten-sions of recurrent neural network language model,2011, In International Conference on Acoustics
 Visualising facebook,2017, 2017
 Kernelmean embedding of distributions: A review and beyond,2017, Foundations and TrendsR in MachineLearning
 Glove: Global vectors for wordrepresentation,2014, In Empirical Methods in Natural Language Processing (EMNLP)
 The nature of emotions,2001, 89:344
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, In ICLR
 Memes in digital culture,2014, Mit Press
 Going deeper with convolutions,2015, InCVPR
 On the dimensional and hierarchical structureof affect,1999, Psychological Science
 Unsupervised sentiment analysisfor social media images,2015, In IJCAI
 The panas-x: Manual for the positive and negative affectschedule - expanded form,1999, 1999
 Word-of-mouth as self-enhancement,2008, 2008
 Robust image sentiment analysis usingprogressively trained and domain transferred deep networks,2015, In AAAI
