title,year,conference
 Snowball: Extracting relations from large plain-text collec-tions,2000, In Proceedings ofthe fifth ACM conference on Digital libraries
 A review of relation extraction,2007, Literature review for Languageand Statistics II
 Extracting semantic relations from query logs,2007, InProceedings of the 13th ACM SIGKDD international conference on Knowledge discovery anddata mining
 Generating sentences from a continuous space,2016, CoNLL 2016
 Typed tensor decomposition ofknowledge bases for relation extraction,2014, 2014
 Integrating probabilistic extraction modelsand data mining to discover relations and patterns in text,2006, In Proceedings of the main conferenceon Human Language Technology Conference of the North American Chapter of the Associationof Computational Linguistics
 Deep unsupervised clustering with gaussian mixture varia-tional autoencoders,2016, arXiv preprint arXiv:1611
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the Thirteenth International Conference on Artificial Intelligenceand Statistics
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2016, 2016
 Toward controlledgeneration of text,2017, In International Conference on Machine Learning
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Stochastic gradient vb and the variational auto-encoder,2014, InSecond International Conference on Learning Representations
 Semi-supervisedlearning with deep generative models,2014, In Advances in Neural Information Processing Systems
 Neural relation extractionwith selective attention over instances,2016, In ACL (1)
 Discrete-state variational autoencoders for joint discovery andfactorization of relations,2016, Transactions of the Association for Computational Linguistics
 Efficient estimation of word represen-tations in vector space,2013, arXiv preprint arXiv:1301
 Stick-breaking variational autoencoders,2017, In ICLR
 Bayesian rationality: The probabilistic approach to human rea-soning,2007, Oxford University Press
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 A simple neural network module for relational reasoning,2017, arXivpreprint arXiv:1706
 Reasoning with neuraltensor networks for knowledge base completion,2013, In Advances in neural information processingsystems
 HoW to train deep variational autoencoders andprobabilistic ladder networks,2016, In ICML
 Automatic discovery of semantic relationsusing mindnet,2010, In LREC
 Variational autoencoder for semi-suPervised textclassification,2017, In AAAI
 Jointly identifying entities and extracting relations in encycloPediatext via a graPhical model aPProach,2010, In Proceedings of the 23rd International Conference onComputational Linguistics: Posters
 Adadelta: an adaPtive learning rate method,2012, arXiv preprint arXiv:1212
 Relation classification viaconvolutional deeP neural netWork,2014, In COLING
