title,year,conference
 Label-embedding forattribute-based classification,2013, In Proceedings of CVPR 2013
 Multi-column deep neural networks for imageclassification,2012, In Proceedings of CVPR 2012
 Fractional max-pooling,2015, In Proceedings of the 3rd International Conference onLearning Representations (ICLR 2015)
 Canonical correlation analysis: Anoverview with application to learning methods,2004, Neural Computation
 Deep residual learning for image recog-nition,2016, In Proceedings of CVPR 2016
 Multi-label prediction via com-pressed sensing,2009, In NIPS 2009
 LCSTS: A large scale chinese short text summarizationdataset,2015, In Proceedings of EMNLP 2015
 Adam: A method for stochastic optimization,2014,	CoRR
 Learning multiple layers of features from tiny images,2009, 2009
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Recurrent convolutional neural network for object recognition,2015, InProceedings of CVPR 2015
 Stanford neural machine translation systems forspoken language domains,2015, In Proceedings of the International Workshop on Spoken LanguageTranslation
 Label embedding for zero-shot fine-grained named entitytyping,2016, In Proceedings ofCOLING 2016
 All you need is a good init,2016, In Proceedings of the 4th InternationalConference on Learning Representations (ICLR 2016)
 Bleu: a method for automaticevaluation of machine translation,2002, In Proceedings ofACL 2002
 Best practices for convolutional neuralnetworks applied to visual document analysis,2003, In Proceedings of ICDAR 2003
 Strivingfor simplicity: The all convolutional net,2015, In Proceedings of the 3rd International Conference onLearning Representations: Workshop Track (ICLR 2015)
 Training very deep networks,2015, InNIPS 2015
 Regularization of neuralnetworks using dropconnect,2013, In Proceedings of ICML 2013
 WSABIE: scaling up to large vocabulary imageannotation,2011, In Proceedings of IJCAI 2011
 Wide residual networks,2016, In Proceedings of the 27thBritish Machine Vision Conference (BMVC 2016)
