title,year,conference
 Evaluation of layered hmm for motion intention recognition,2007, In IEEEInternational Conference on Advanced Robotics
 Tensor decomposi-tions for learning latent variable models,2014, JMLR
 Hierarchical multiscale recurrent neural networks,2016, arXivpreprint arXiv:1609
 Hierarchical recurrent neural networks for long-term dependencies,1995, In NIPS
 Spectral dimensionality reduction for hmms,2012, arXiv preprintarXiv:1203
 Factorial hidden markov models,1997, Machine learning
 Long short-term memory,1997, Neural ComPutation
 State-frequency memory recurrent neural networks,2017, In International Conference onMachine Learning
 DecouPled neural interfaces using synthetic gradients,2016, arXiv PrePrint arXiv:1608
 Observable oPerator models for discrete stochastic time series,2000, Neural ComPutation
 An introduction to variationalmethods for graPhical models,1999, Machine learning
 APProximate inference in additive factorial hmms with aPPlication toenergy disaggregation,2012, In International conference on artificial intelligence and statistics
 Multi-timescale long short-termmemory neural network for modelling sentences and documents,2015, In EMNLP 2015
 A neural stochastic volatility model,2017, arXiv PrePrintarXiv:1712
 Factorial hidden markov models for learning rePresentations of naturallanguage,2013, arXiv PrePrint arXiv:1312
 Dynamic portfolio optimization across hidden marketregimes,2017, Quantitative Finance
 Layered representations for learning and inferring office activityfrom multiple sensory channels,2004, ComPuter Vision and Image Understanding
 A spectral algorithm for latentjunction trees,2012, In Nando de Freitas and Kevin P
 Dissertation: SPectral Estimation of Hidden Markov Models,2014, University of Pennsylvania
 Using regression for spectral estimation ofhmms,2013, In Statistical Language and SPeech Processing
 A probabilistic approach to concurrent mapping andlocalization for mobile robots,1998, Autonomous Robots
 Covariance matrix estimation in time series,2012, Handbook of Statistics
 Dynamic covariance models for multivariatefinancial time series,2013, In ICML
 Stock price prediction via discovering multi-frequency trad-ing patterns,2017, In Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discoveryand Data Mining
