title,year,conference
 Generative multi-adversarial networks,2017, InProceedings of the International Conference on Learning Representations (ICLR)
 Censoring representations with an adversary,2016, In Proceedingsof the International Conference on Learning Representations (ICLR)
 Unsupervised domain adaptation by backpropagation,2015, InProceedings of the International Conference on Machine Learning (ICML)
 Generative adversarial nets,2014, In Proceedings of the AnnualConference on Neural Information Processing Systems (NIPS)
 A fast learning algorithm for deep beliefnets,2006, Neural computation
 The random subspace method for constructing decision forests,1998, IEEE transactions onpattern analysis and machine intelligence
 Adam: A method for stochastic optimization,2015, In Proceedings ofthe International Conference on Learning Representations (ICLR)
 The variationalfair auto encoder,2016, In Proceedings of the International Conference on Learning Representations(ICLR)
 Benchmarking classification techniques using theopportunity human activity dataset,2011, In Proceedings of the INSS
 Asymmetric tri-training for unsuperviseddomain adaptation,2017, In Proceedings of the International Conference on Machine Learning (ICML)
 Learning factorial codes by predictability minimization,1992, Neural Computation
 Adversarial feature matchingfor text generation,2017, In Proceedings of the International Conference on Machine Learning (ICML)
