title,year,conference
 Do GANs actually learn the distribution? An empirical study,2017, arXivpreprint arXiv:1706
 BEGAN: Boundary equilibrium generative adver-sarial networks,2017, arXiv preprint arXiv:1703
 Deep generative image models using alaplacian pyramid of adversarial networks,2015, In Advances in neural information processing systems
 Auto-encoding variational bayes,2014, In International Conferenceon Learning Representations
 Unrolled generative adversarialnetworks,2016, arXiv preprint arXiv:1611
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Deep learning is robust to massivelabel noise,2017, arXiv preprint arXiv:1705
 On the quantitative analysis ofdecoder-based generative models,2016, arXiv preprint arXiv:1611
 LSUN: Constructionof a large-scale image dataset using deep learning with humans in the loop,2015, arXiv preprintarXiv:1506
 Stackgan: Text to photo-realistic image synthesis with stacked generative adversarialnetworks,2016, arXiv preprint arXiv:1612
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, arXiv preprint arXiv:1703
