title,year,conference
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Describing multimedia content usingattention-based encoder-decoder netWorks,2015, IEEE Transactions on Multimedia
 Visualizing higher-layerfeatures of a deep netWork,2009, University of Montreal
 Interpreting neural netWork connection Weights,1991, 1991
 TWo-Way interaction of input variables in thesensitivity analysis of neural netWork models,2006, Ecological modelling
 Generative adversarial nets,2014, In NIPS
 ToWards transparent ai systems:Interpreting visual question ansWering models,2016, arXiv preprint arXiv:1608
 Draw: Arecurrent neural network for image generation,2015, arXiv preprint arXiv:1502
 Teaching machines to read and comprehend,2015, In NIPS
 Deep unordered composi-tion rivals syntactic methods for text classification,2015, In ACL
 Adam: A method for stochastic optimization,2014, CoRR
 Imagenet classification with deep convolu-tional neural networks,2012, In NIPS
 Ask me anything: Dynamic memory networks fornatural language processing,2016, In ICML
 Rationalizing Neural Predictions,2016, Naacl
 Rectifier nonlinearities improve neuralnetwork acoustic models,2013, 2013
 Limitations of sensitivity analysis for neuralnetworks in cases with dependent inputs,2006, In Computational Cybernetics
 Recurrentneural network based language model,2010, In INTERSPEECH
 Recurrent models of visual attention,2014, InAdvances in neural information processing systems
 Multifaceted feature visualization: Uncovering thedifferent types of features learned by each neuron in deep neural networks,2016, CoRR
 Why should i trust you?: Explaining thepredictions of any classifier,2016, In Proceedings of the 22nd ACM SIGKDD International Conferenceon Knowledge Discovery and Data Mining
 Deep inside convolutional networks:Visualising image classification models and saliency maps,2013, arXiv preprint arXiv:1312
 Going deeper with convolutions,2015, InProceedings of the IEEE conference on computer vision and pattern recognition
 Understanding neuralnetworks through deep visualization,2015, arXiv preprint arXiv:1506
 Artificial intelligence as a positive and negative factor in global risk,2008, Globalcatastrophic risks
 Visualizing and Understanding Convolutional Networks,1611, pp
 Adaptive deconvolutional networks for midand high level feature learning,2011, In Computer Vision (ICCV)
 Visualizing deep neural networkdecisions: Prediction difference analysis,2017, arXiv preprint arXiv:1702
