title,year,conference
 Information dropout: learning optimal representations through noisycomputation,2016, ArXiv
 Deep variational information bottleneck,2017, InICLR
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, InNIPS
 Elements of information theory,1991, Wiley New York
 WELDON: Weakly Supervised Learning ofDeep Convolutional Neural Networks,2016, In CVPR
 Unsupervised domain adaptation by backpropagation,2015, InICML
 Deep residual learning for imagerecognition,2016, In CVPR
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2016, JMLR
 Auto-encoding variational bayes,2014, In ICLR
 Learning multiple layers of features from tiny images,2009, PhD thesis
 Imagenet classification with deep convo-lutional neural networks,2012, In F
 Gradient based learning applied to documentrecognition,1998, Proceedings of the IEEE
 Estimation of entropy and mutual information,2003, Neural Computation
 Imagenetlarge scale visual recognition challeng,2015, ICJV
 The information bottleneck method,1999, Annual AllertonConference on Communication
 Deep learning and the information bottleneck principle,2015, InInformation Theory Workshop (ITW)
 Wide residual networks,2016, In arXiv
 Understandingdeep learning requires rethinking generalization,2017, ICLR
