title,year,conference
 Learning to see by moving,2015, In Proceedings of the IEEEInternational Conference on Computer Vision
 Spatial cognition and the brain,2008, Annals ofthe New York Academy ofSciences
 A bayesianalgorithm for simultaneous localisation and map building,2003, In Robotics Research
 Cellular networks underlying human spatial navigation,2003, Nature
 Willow garage,2011, Willow Garage
 Deep image retrieval: Learning globalrepresentations for image search,2016, In European Conference on Computer Vision
 Neural turing machines,2014, arXiv preprint arXiv:1410
 Cognitive mapping andplanning for visual navigation,2017, arXiv preprint arXiv:1702
 Microstructure of aspatial map in the entorhinal cortex,2005, Nature
 Neuroscience-inspiredartificial intelligence,2017, Neuron
 Long short-term memory,1997, Neural computation
 Spatial transformer networks,2015, In Advances in NeuralInformation Processing Systems
 Modelling uncertainty in deep learning for camera relocalization,2016, In Roboticsand Automation (ICRA)
 Adam: A method for stochastic optimization,2014, arXiv preprint arXiv:1412
 A robot exploration and mapping strategy based on a semantic hierarchyof spatial representations,1991, Robotics and autonomous systems
 Bayesian integration of informationin hippocampal place cells,2014, PLOS one
 Computational cognitive models of spatial memoryin navigation space: A review,2015, Neural Networks
 Path integrationand the neural basis of the’cognitive map’,2006, Nature Reviews Neuroscience
 Learning to navigate in complex environments,2016, arXivpreprint arXiv:1611
 Human-level control through deepreinforcement learning,2015, Nature
 Asynchronous methods for deep reinforcement learning,2016, In InternationalConference on Machine Learning
 Orb-slam: a versatile and accurate monocularslam system,2015, IEEE Transactions on Robotics
 Accurate on-line 3d occupancy gridsusing manhattan world constraints,2012, In Intelligent Robots and Systems (IROS)
 A simple and efficient rectification method for generalmotion,1999, In Computer Vision
 Ten years of grid cells,2016, Annual reviewof neuroscience
 Estimating uncertain spatial relationships in robotics,2013, arXivpreprint arXiv:1304
 The head direction signal: origins and sensory-motor integration,2007, Annu
 Robotic mapping: A survey,2002, Exploring artificial intelligence in the new millennium
 Good features to track for visual slam,2015, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
