title,year,conference
 Layer normalization,2016, arXiv preprintarXiv:1607
 Similarity estimation techniques from rounding algorithms,2002, In STOC
 Nearest neighbor based greedycoordinate descent,2011, In NIPS
 Approximate nearest neighbor: Towardsremoving the curse of dimensionality,2012, Theory of Computing
 Approximate nearest neighbors: Towards removing the curse ofdimensionality,1998, In STOC
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In ICML
 Sieving for shortest vectors in lattices using angular locality-sensitive hashing,2015, InCRYPTO
 MNIST handwritten digit database,2010, 2010
 Large-margin softmax loss for convolu-tional neural networks,2016, In ICML
 Deep learning face attributes in the wild,2015, InProceedings of International Conference on Computer Vision (ICCV)
 Weight normalization: A simple reparameterization toaccelerate training of deep neural networks,2016, In Advances in Neural Information ProcessingSystems
 Going deeper with convolutions,2015, In CVPR
 Deep networks withlarge output spaces,2015, In ICLR
