title,year,conference
 Wasserstein gan,2017, CoRR
 Using simulation and domain adaptation to improve efficiency of deep roboticgrasping,2017, CoRR
 No more discrimination: Cross city adaptation of road scene segmenters,2017, In The IEEEInternational Conference on Computer Vision (ICCV)
 The Cityscapes dataset for semanticurban scene understanding,2016, In Proc
 Adversarial feature learning,2017, In ICLR
 Adversarially learned inference,2016, arXiv preprint arXiv:1606
 Unsupervised domain adaptation by backpropagation,2015, InDavid Blei and Francis Bach (eds
 Image style transfer using convolutionalneural networks,2016, In Computer Vision and Pattern Recognition (CVPR)
 Distilling the knowledge in a neural network,2015, 2015
 FCNs in the wild: Pixel-level adversarialand constraint-based adaptation,2016, CoRR
 Image-to-image translation withconditional adversarial networks,2016, arXiv preprint arXiv:1611
 Learning to generate images ofoutdoor scenes from attributes and semantic layouts,2016, arXiv preprint arXiv:1612
 Learning to discovercross-domain relations with generative adversarial networks,2017, arXiv preprint arXiv:1703
 Gradient-based learning applied to documentrecognition,1998, Proceedings of the IEEE
 Sequential bayesian model update under structured scene prior forsemantic road scenes labeling,2013, In IEEE International Conference on Computer Vision (ICCV)
 Coupled generative adversarial networks,2016, In Advances in Neural InformationProcessing Systems
 Coupled generative adversarial networks,2016, In Neural InformationProcessing Systems (NIPS)
 Fully convolutional networks for semanticsegmentation,2015, CVPR (to appear)
 Conditional generative adversarial nets,2014, CoRR
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS Workshop on Deep Learningand Unsupervised Feature Learning 2011
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Playing for data: Groundtruth from computer games,2016, In Bastian Leibe
 Training constraineddeconvolutional networks for road scene semantic segmentation,2016, CoRR
 Adapting visual category models to newdomains,2010, In European conference on computer vision
 Scribbler: Controlling deepimage synthesis with sketch and color,2016, arXiv preprint arXiv:1612
 Unsupervised cross-domain image generation,2017, In InternationalConference on Learning Representations
 Unsupervised cross-domain image generation,2017, InInternational Conference on Learning Representations (ICLR)
 Unbiased look at dataset bias,2011, In CVPR’11
 Deep domain confusion:Maximizing for domain invariance,2014, CoRR
 Simultaneous deep transfer acrossdomains and tasks,2015, In International Conference in Computer Vision (ICCV)
 Adversarial discriminative domainadaptation,2017, In Computer Vision and Pattern Recognition (CVPR)
 Dualgan: Unsupervised dual learning for image-to-imagetranslation,2017, arXiv preprint arXiv:1704
 Pixel-leveldomain transfer,2016, In European Conference on Computer Vision (ECCV)
 Dilated residual networks,2017, In Computer Visionand Pattern Recognition (CVPR)
 Energy-based generative adversarial network,2016, arXivpreprint arXiv:1609
 Generative visual manip-ulation on the natural image manifold,2016, In European Conference on Computer Vision (ECCV)
 UnPaired image-to-image translationusing cycle-consistent adversarial networks,2017, In International Conference on Computer Vision(ICCV)
