title,year,conference
 Learning the structure of deepsparse graphical models,2010, In Proceedings of the Thirteenth International Conference on ArtificialIntelligence and Statistics
 Branchconnect: Large-scale visual recognition with learnedbranch connections,2017, CoRR
 Imagenet: A large-scalehierarchical image database,2009, In 2009 IEEE Computer Society Conference on Computer Vision andPattern Recognition (CVPR 2009)
 Pathnet: Evolution channels gradient descent in super neuralnetworks,2017, CoRR
 Shake-shake regularization,2017, CoRR
 Dynamic network surgery for efficient dnns,2016, InAdvances in Neural Information Processing Systems 29: Annual Conference on Neural InformationProcessing Systems 2016
 DSD: regularizing deep neural networks with dense-sparse-densetraining flow,2016, In International Conference on Learning Representations (ICLR)
 Deep residual learning for imagerecognition,2016, In Computer Vision and Pattern Recognition (CVPR)
 Densely connected convolutional networks,2017, InIEEE Conference on Computer Vision and Pattern Recognition
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In Proceedings of the 32nd International Conference on MachineLearning
 Imagenet classification with deep convolu-tional neural networks,2012, In Advances in Neural Information Processing Systems 25
 Optimal brain damage,1989, In Advances in NeuralInformation Processing Systems 2
 Rectifier nonlinearities improve neural networkacoustic models,2013, Proc
 Blockout: Dynamic model selection forhierarchical deep networks,2016, In 2016 IEEE Conference on Computer Vision and Pattern Recognition
 Optimization as a model for few-shot learning,2017, In InternationalConference on Learning Representations (ICLR)
 Large-scale evolution of image classifiers,2017, CoRR
 Convolutional neural fabrics,2016, In Advances in Neural InformationProcessing Systems 29: Annual Conference on Neural Information Processing Systems 2016
 Very deep convolutional networks for large-scale imagerecognition,2015, In International Conference on Learning Representations (ICLR)
 Practical bayesian optimization of machinelearning algorithms,2012, In Advances in Neural Information Processing Systems 25
 Going deeper with convolutions,2015, InIEEE Conference on Computer Vision and Pattern Recognition
 Matchingnetworks for one shot learning,2016, In Advances in Neural Information Processing Systems 29
 Modeling systems with internal stateusing evolino,2005, In Genetic and Evolutionary Computation Conference
 Aggregated residualtransformations for deep neural networks,2017, In IEEE Conference on Computer Vision and PatternRecognition
 Neural architecture search with reinforcement learning,2017, In InternationalConference on Learning Representations (ICLR)
