title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In ICLR
 Designing neural network architec-tures using reinforcement learning,2017, In ICLR
 Neural optimizer search with rein-forcement learning,2017, In ICLR
 SMASH: one-shot modelarchitecture search through hypernetworks,2017, arXiv preprint 1708
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In AISTATS
 Long short-term memory,1997, Neural Computation
 Stanford neural machine translation systems forsPoken language domain,2015, In IWSLT
 Effective aPProaches to attention-based neural machine translation,2015, In EMNLP
 Addressingthe rare word Problem in neural machine translation,2015, In ACL
 BLEU: a method for automaticevaluation of machine translation,2002, In ACL
 Swish: a Self-Gated Activation Function,2017, arXivpreprint 1710
 Large-scale evolution of image classifiers,2017, In ICML
 In ICML,2011, ACM
 Combinations of genetic algorithms and neuralnetworks: a survey of the state of the art,1992, International Workshop on Combinations of GeneticAlgorithms and Neural Networks
 Trust regionPolicy oPtimization,2015, In ICML
 Neural machine translation of rare words withsubword units,2016, In ACL
 Bidirectional attentionflow for machine comprehension,2016, CoRR
 Bidirectional attentionflow for machine comprehension,2017, In ICLR
 Practical bayesian optimization of machinelearning algorithms,2012, In NIPS
 Attention is all you need,2017, In Neural Information ProcessingSystems
 Practical network blocks design with q-learning,2017, arXivpreprint 1708
 Neural architecture search with reinforcement learning,2017, In ICLR
 Learning transferable architecturesfor scalable image recognition,2017, arXiv preprint 1707
