title,year,conference
 Learning phrase representations using RNN encoder-decoder for statistical ma-chine translation,2014, CoRR
 AUtoencoder with re-cUrrent neUral networks for video forgery detection,2017, CoRR
 Recognition of mUltivariatetemporal mUsical gestUres Using n-dimensional dynamic time warping,2011, In NIME
 Long short-term memory,0899, Neural Computation
 Adam: A method for stochastic oPtimization,2014, CoRR
 Online context recognition in mUltisensorsystems Using dynamic time warPing,2005, In 2005 International Conference on Intelligent Sensors
 Uwave: Accelerometer-basedPersonalized gestUre recognition and its aPPlications,2009, In 2009 IEEE International Conference onPervasive Computing and Communications
 Timenet: Pre-trained deep recurrent neural network for time series classification,2017, CoRR
 Generalizingdtw to the multi-dimensional case requires an adaptive approach,1573, Data Mining and KnowledgeDiscovery
 Unsupervised learning of videorepresentations using lstms,2015, CoRR
 Multi-dimensional dynamic time warpingfor gesture recognition,2007, 01 2007
 Word recognition from continuous articulatory movement time-seriesdata using symbolic representations,2013, 08 2013
