title,year,conference
 Higher order learning with graphs,2006, InProceedings ofthe 23rd international conference on Machine learning
 Identification of groups in online environments: The twist and turns of groupinggroups,2011, In Privacy
 Molecular set theory: A mathematical representation for chemical reactionmechanisms,1960, Bulletin of Mathematical Biology
 Laplacian eigenmaps and spectral techniques for embedding andclustering,2001, In NIPS
 Modeling high-dimensional discrete data with multi-layer neuralnetworks,2000, In Advances in Neural Information Processing Systems
 Representation learning: A review and newperspectives,2013, IEEE transactions on pattern analysis and machine intelligence
 Learning deep architectures for ai,2009, Foundations and trendsR in MachineLearning
 Hypergraph theory,2013, An introduction
 A game-theoretic approach to hypergraph clustering,2009, InAdvances in neural information processing systems
 Multidimensional scaling,2000, CRC press
 Item-based top-n recommendation algorithms,2004, ACMTransactions on Information Systems (TOIS)
 Clustering based on association rule hyper-graphs,1997, University of Minnesota
 Enabling scalable social group analytics via hypergraphanalysis systems,2015, In HotCloud
 Mesh: A flexible distributed hypergraph processing system,2017, 2017
 Scalable hypergraph learning and processing,2015, In DataMining (ICDM)
 Hypergraphs and cellular networks,2009, PLoS computational biology
 Tensor decompositions and applications,2009, SIAM review
 Distributed representations of sentences and documents,2014, In ICML
 News recommendation via hypergraph learning: encapsulation of user behaviorand news content,2013, In Proceedings of the sixth ACM international conference on Web search anddata mining
 Efficient estimation of word represen-tations in vector space,2013, arXiv preprint arXiv:1301
 Distributed representa-tions of words and phrases and their compositionality,2013, In Proceedings of the 26th InternationalConference on Neural Information Processing Systems
 Deepwalk: Online learning of social repre-sentations,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledgediscovery and data mining
 Deepset-net: Predicting sets with deep neural networks,2016, arXiv preprint arXiv:1611
 Nonlinear dimensionality reduction by locally linear embed-ding,2000, Science
 Hasse diagrams,1990, Implementing Discrete Mathematics: Combinatorics and GraphTheory With Mathematica
 Parsing With Compositional Vector Grammars,2013, In EMNLP
 Exploring complex networks,2001, Nature
 Pte: Predictive text embedding through large-scale hetero-geneous text networks,2015, In Proceedings of the 21th ACM SIGKDD International Conference onKnowledge Discovery and Data Mining
 Line: Large-scaleinformation network embedding,2015, In Proceedings of the 24th International Conference on WorldWide Web
 Leveraging social media networks for classification,2011, Data Mining andKnowledge Discovery
 A global geometric framework fornonlinear dimensionality reduction,2000, science
 Learning deep representations forgraph clustering,2014, In AAAI
 A hypergraph-based learning algorithm for classifyinggene expression and arraycgh data with prior knowledge,2009, Bioinformatics
 Extracting andcomposing robust features with denoising autoencoders,2008, In Proceedings of the 25th internationalconference on Machine learning
