title,year,conference
 Tensorflow: Large-scale machinelearning on heterogeneous distributed systems,2016, arXiv preprint arXiv:1603
 Sentence pair scoring: Towards unifiedframework for text comprehension,2016, arXiv preprint arXiv:1603
 Enriching word vectorswith subword information,2016, arXiv preprint arXiv:1607
 Enhanced lstm fornatural language inference,2017, In Proc
 Evaluating prerequisite qualities for learning end-to-end dialog sys-tems,2015, arXiv preprint arXiv:1511
 Long short-term memory,1997, Neural computation
 An information retrieval aPProach to short text conver-sation,2014, arXiv preprint arXiv:1408
 ImProved deeP learning baselines for ubuntucorPus dialogs,2015, arXiv preprint arXiv:1510
 Convolutional neural networks for sentence classification,2014, arXiv preprintarXiv:1408
 Character-aware neural languagemodels,2016, In AAAI
 Adam: A method for stochastic oPtimization,2014, arXiv preprintarXiv:1412
 The ubuntu dialogue corPus:A large dataset for research in unstructured multi-turn dialogue systems,2015, arXiv preprintarXiv:1506
 The stanford corenlp natural language processing toolkit,2014, In ACL (SystemDemonstrations)
 A decomposable attentionmodel for natural language inference,2016, arXiv preprint arXiv:1606
 Glove: Global vectors for wordrepresentation,2014, In Proceedings of the 2014 conference on empirical methods in natural languageprocessing (EMNLP)
 Boosting named entity recognition with neUralcharacter embeddings,2015, arXiv preprint arXiv:1505
 Bidirectional attentionflow for machine comprehension,2016, arXiv preprint arXiv:1611
 Representing general relational knowledge in conceptnet 5,2012, InLREC
 Conceptnet 5,2017,5: An open mUltilingUal graph ofgeneral knowledge
 A neUral conversational model,2015, arXiv preprint arXiv:1506
 Match-srnn:Modeling the recUrsive matching strUctUre with spatial rnn,2016, arXiv preprint arXiv:1604
 A dataset for research on short-text conver-sations,2013, In EMNLP
 Learning natUral langUage inference with lstm,2015, arXiv preprintarXiv:1512
 Bilateral mUlti-perspective matching for natUrallangUage sentences,2017, arXiv preprint arXiv:1702
 Sequential matching network: A newarchitecture for multi-turn response selection in retrieval-based chatbots,2017, In Proceedings of the55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)
 Learning to respond with deep neural networks for retrieval-based human-computer conversation system,2016, In Proceedings of the 39th International ACM SIGIRconference on Research and Development in Information Retrieval
 Doc-chat: An information retrieval approach for chatbot engines using unstructured documents,2016, InACL (1)
 Words or characters? fine-grained gating for reading comprehension,2016, arXiv preprintarXiv:1611
 Multi-task cross-lingual sequence taggingfrom scratch,2016, arXiv preprint arXiv:1603
 Multi-view response selection for human-computer conversation,2016, In EMNLP
