title,year,conference
 Cognitive psychology and its implications,1985, New York
 Neural mechanisms of selective visual attention,1995, Annual reviewof neuroscience
 Age and gender estimation of unfiltered faces,2014, IEEETransactions on Information Forensics and Security
 Look closer to see better: recurrent attention convolu-tional neural network for fine-grained image recognition,2017, In CVPR
 Food image recognition using very deep convolutional networks,2016, In MADIMAWOrkshop
 Deep residual learning for image recog-nition,2016, In CVPR
 Long short-term memory,1997, Neural computation
 Spatial transformer networks,2015, In NIPS
 3d object representations for fine-grainedcategorization,2013, In CVPR
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Age and gender classification using convolutional neural networks,2015, InCVPR Workshops
 Bilinear cnn models for fine-grainedvisual recognition,2015, In ICCV
 Bilinear convolutional neural networksfor fine-grained visual recognition,2017, TPAMI
 Fully convolutional attention localiza-tion networks: Efficient attention localization for fine-grained recognition,2016, arXiv preprintarXiv:1603
 Recognition of multiple-food images by detecting candidateregions,2012, In ICME
 Recurrent models of visual attention,2014, In NIPS
 Age andgender recognition in the wild with deep attention,2017, PR
 Deep expectation of real and apparent age from asingle image without facial landmarks,2016, IJCV
 Attention for fine-grained categorization,2015, InICLR
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Selective search for object recogni-tion,2013, IJCV
 Attention is all you need,2017, arXiv preprint arXiv:1706
 Residual attention network for image classification,2017, arXiv preprintarXiv:1704
 Theapplication of two-level attention models in deep convolutional neural network for fine-grainedimage classification,2015, In CVPR
 Food image recognition using deep convolutional network withpre-training and fine-tuning,2015, In ICMEW
 Wide residual networks,2016, In BMVC
 Part-based r-cnns for fine-grainedcategory detection,2014, In ECCV
 Picking deep filterresponses for fine-grained image recognition,2016, In CVPR
 A survey on deep learning-based fine-grainedobject classification and semantic segmentation,2017, IJAC
 Diversified visual attentionnetworks for fine-grained object classification,2017, IEEE Transactions on Multimedia
