title,year,conference
 Domainseparation networks,2016, In NIPS
 Unsupervisedpixel-level domain adaptation with generative adversarial networks,2017, In CVPR
 Image style transfer using convolutional neural networks,2016, In CVPR
 Generative adversarial nets,2014, In NIPS
 Perceptual losses for real-time style transfer and super-resolution,2016, In ECCV
 Learning to discover cross-domainrelations with generative adversarial networks,2017, In ICML
 Adam: A method for stochastic optimization,2015, In ICLR
 AutoenCoding beyond pixels using alearned similarity metric,2015, arXiv
 Photo-realistiC single image super-resolutionusing a generative adversarial network,2016, arXiv
 Combining Markov random fields and convolutional neural networks for imagesynthesis,2016, In CVPR
 Visual attribute transfer through deep imageanalogy,2017, ACM Transactions on Graphics
 Coupled generative adversarial networks,2016, In NIPS
 Unsupervised image-to-image translation networks,2017, arXiv
 Deep face recognition,2015, In BMVC
 FaceNet: A unified embedding for face recognitionand clustering,2015, In CVPR
 Learning fromsimulated and unsupervised images through adversarial training,2017, In CVPR
 Unsupervised cross-domain image generation,2016, arXiv
 Unsupervised creation of parameterized avatars,2017, In ICCV
 DualGan: Unsupervised dual learning for image-to-imagetranslation,2017, In ICCV
 Colorful image colorization,2016, In ECCV
 Unpaired image-to-image translation usingcycle-consistent adversarial networks,2017, In ICCV
