title,year,conference
 DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition,2014, InIcml
 HoW do humans sketch objects? ACM Trans,1999, Graph
 Rich feature hierarchies for ac-curate object detection and semantic segmentation,2014, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Caltech-256 object category dataset,2015, 2007
 Deep speech: Scaling up end-to-endspeech recognition,2014, arXiv preprint arXiv:1412
 Comparing biases for minimal network construction withback-propagation,1988, In Proceedings of the 1st International Conference on Neural InformationProcessing Systems
 Deep residual learning for image recog-nition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Mask R-CNN,2017, arXiv preprintarXiv:1703
 Adam: A method for stochastic optimization,2017, arXiv preprintarXiv:1412
 Learning multiple layers of features from tiny images,2009, 2009
 Human-level concept learningthrough probabilistic program induction,2016, Science
 A survey on deep learning in medical image analysis,2017, arXivpreprint arXiv:1702
 Fully convolutional networks for semantic seg-mentation,2015, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Fine-grainedvisual classification of aircraft,2016, arXiv preprint arXiv:1306
 Human-levelcontrol through deep reinforcement learning,2017, Nature
 CNN featuresoff-the-shelf: an astounding baseline for recognition,2014, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition Workshops
 Very deep convolutional networks for large-scale imagerecognition,2016, arXiv preprint arXiv:1409
