title,year,conference
 Wasserstein gan,2017, arXiv preprintarXiv:1701
 An information-maximization aPProach to blind sePara-tion and blind deconvolution,1995, Neural computation
 Nice: Non-linear indePendent comPonents esti-mation,2014, arXiv preprint arXiv:1410
 Density estimation using real nvp,2016, arXivpreprint arXiv:1605
 Im-proved training of wasserstein gans,2017, arXiv preprint arXiv:1704
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2016, In ICLR
 Boundary-seeking generative adversarial networks,2017, arXiv preprint arXiv:1702
 An alternative update rule for generative adversarial networks,2016, Unpublished note(retrieved on 7 Oct 2016)
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, arXiv preprint arXiv:1502
 Tsp speech database,2002, McGill University
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 An overview of independent component analysis and itsapplications,2011, Informatica
 Learning factorial codes by predictability minimization,1992, Neural Computation
 Invariant representations for noisy speech recognition,2016, arXiv preprintarXiv:1612
 Least-dependent-component analysis based on mutual information,2004, Physical Review E
