title,year,conference
 Unitary evolution recurrent neural net-works,2016, In International Conference on Machine Learning
 Neural machine translation byjointly learning to align and translate,2015, Proceedings of the International Conference onLearning Representations
 Learning long-term dependencies withgradient descent is difficult,1994, IEEE transactions on neural networks
 Dilated recurrent neuralnetworks,2017, In Advances in Neural Information Processing Systems
 Very deep convolutionalnetworks for natural language processing,2016, In Proceedings of the 15th Conference of theEuropean Chapter of the Association for Computational Linguistics
 Finding structure in time,1990, Cognitive science
 Unbounded cache model for onlinelanguage modeling with open vocabulary,2017, In Advances in Neural Information ProcessingSystems
 Improving neural language modelswith a continuous cache,2017, ICLR
 Adaptive computation time for recurrent neural networks,2016, arXiv preprintarXiv:1603
 Neural turing machines,2014, arXiv preprintarXiv:1410
 Hybrid computing using a neural network with dynamic externalmemory,2016, Nature
 Long short-term memory,1997, Neural computation
 Adam: A method for stochastic optimization,2014, arXivpreprint arXiv:1412
 Variational memory encoder-decoder,2018, In Advances in Neural Information Processing Systems
 A simple way to initialize recurrentnetworks of rectified linear units,2015, arXiv preprint arXiv:1504
 Visuo-spatial working memory,2014, Psychology Press
 When recurrent models don’t need to be recurrent,2018, arXivpreprint arXiv:1805
 On the difficulty of training recurrentneural networks,2013, In International Conference on Machine Learning
 Glove: Global vectors forword representation,2014, In EMNLP
 A new method of region embedding for text classification,2018, In InternationalConference on Learning Representations
 Meta-learning with memory-augmented neural networks,2016, In International conferenceon machine learning
 Neural Speed Reading viaSkim-RNN,2018, ICLR
 Learning longer-term depen-dencies in rnns with auxiliary losses,2018, In Proceedings of the 35 th International Conferenceon Machine Learning
 Wavenet: Agenerative model for raw audio,2016, In SSW
 Attention is all you need,2017, In Advances in NeuralInformation Processing Systems
 Full-capacity unitary recurrent neural networks,2016, In Advances in Neural Information ProcessingSystems
 Generative and discriminativeteXt classification with recurrent neural networks,2017, arXiv preprint arXiv:1703
 Memory architectures in recurrent neural network language models,2018, InInternational Conference on Learning Representations
 Learning to skim text,2017, In Proceedings of the55th Annual Meeting of the Association for Computational Linguistics (Volume 1: LongPapers)
