title,year,conference
 Diffusion-convolutional neural networks,2016, In Advances in NeuralInformation Processing Systems (NIPS)
 Canonical labelling of graphs in linear average time,1979, In Foundationsof Computer Science
 Libsvm: a library for support vector machines,2011, ACMtransactions on intelligent systems and technology (TIST)
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in Neural Information Processing Systems(NIPS)
 Convolutional networks on graphs for learning molecularfingerprints,2015, pp
 A guide to the theory of np-completeness,1979, Computers and intractability
 Neuralmessage passing for quantum chemistry,2017, In International Conference on Machine Learning (ICML)
 Representation learning on graphs: Methods andapplications,2017, IEEE Data Engineering Bulletin
 Approximation capabilities of multilayer feedforward networks,1991, Neural networks
 Multilayer feedforward networks areuniversal approximators,1989, Neural networks
 Anonymous walk embeddings,2018, In International Conference onMachine Learning (ICML)
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations (ICLR)
 Deriving neural architectures fromsequence and graph kernels,2017, pp
 Gated graph sequence neuralnetworks,2016, In International Conference on Learning Representations (ICLR)
 Janossy pool-ing: Learning deep permutation-invariant functions for variable-size inputs,2018, arXiv preprintarXiv:1811
 Learning convolutional neural networksfor graphs,2016, In International Conference on Machine Learning (ICML)
 Pointnet: Deep learning on point setsfor 3d classification and segmentation,2017, Proc
 A simple neural network module for relational reasoning,2017, InAdvances in neural information processing systems
 Measuring abstractreasoning in neural networks,2018, In International Conference on Machine Learning
 Thegraph neural network model,2009, IEEE Transactions on Neural Networks
 Graph attention networks,2018, In International Conference on Learning Representations(ICLR)
 Graph capsule convolutional neural networks,2018, arXiv preprintarXiv:1805
 Representation learning on graphs with jumping knowledge networks,2018, In InternationalConference on Machine Learning (ICML)
 Deep graph kernels,1365, In Proceedings of the 21th ACMSIGKDD International Conference on Knowledge Discovery and Data Mining
 An end-to-end deep learningarchitecture for graph classification,2018, In AAAI Conference on Artificial Intelligence
