title,year,conference
 Convolutional recurrent neuralnetworks for bird audio detection,1744, In Eur
 Recurrent batch normaliza-tion,2017, In Proc
 Noisin: Unbiased regularization for recurrentneural networks,2018, In Proc
 Finding structure in time,1990, Cogn
 and Statist,2011, (AISTATS)
 On the approximation capability of recurrent neural networks,2000, Neurocomputing
 Orthogonal recurrent neural networks with scaled Cayleytransform,2018, In Proc
 Recurrent orthogonal networks and long-memory tasks,2016, InProc
 Kronecker recurrent units,2018, In Proc
 Zoneout: Regularizing rnns by randomly preserv-ing hidden activations,2017, In Proc
 Efficient orthogonal parametrisation of re-current neural networks using householder reflections,2017, In Proc
 On the difficulty of training recurrent neural networks,2013, InProc
 Glove: Global vectors for word representation,2014, InProc
 Recurrent neural networks are universal approximators,2006, InProc
 Recursive deep mod-els for semantic compositionality over a sentiment treebank,2013, In Proc
 Improving performance of recurrent network network with relu nonlin-earity,2016, In Proc
 Visualizing data using t-SNE,2008, J
 Dropout training as adaptive regularization,2013, In Proc
 Full-capacity unitary recurrentneural networks,2016, In Proc
