title,year,conference
 Object detection through search with a foveated visual system,2017, PLoScomputational biology
 End-to-end optimized image compression,2017, InternationalConference on Learning Representations (ICLR)
 An information-maximization approach to blind separation and blinddeconvolution,1995, Neural computation
 Eigen-distortions of hierarchicalrepresentations,2017, In Advances in neural information processing systems
 Metamers of the ventral stream,2011, Nature neuroscience
 Sideeye: A generative neural network based simulator of human peripheral vision,2017, arXiv preprintarXiv:1706
 Controllingperceptual factors in neural style transfer,2017, IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Signal detection theory and psychophysics,1966, 1966
 Geodesics of learned representations,2016, International Conference onLearning Representations (ICLR)
 Image-to-image translation with conditionaladversarial networks,2017, IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Perceptual losses for real-time style transfer and super-resolution,2016, In European Conference on Computer Vision
 Mid-level visual features underlie the high-level categoricalorganization of the ventral stream,0027, Proceedings of the National Academy of Sciences
 A human vision system model for objective picture quality measurements,1997, In BroadcastingConvention
 Nonlinear dimensionality reduction by locally linear embedding,2000, science
 Exploring the space of adversarial images,2016, In 2016 International JointConference on Neural Networks (IJCNN)
 Image content is more important than bouma’s law for scene metamers,2018, bioRxiv
 Selectivity and tolerance forvisual texture in macaque v2,2016, Proceedings of the National Academy of Sciences
