title,year,conference
 Neural photo editing withintrospective adversarial networks,2016, arXiv preprint arXiv:1609
 Learning to generate chairs withconvolutional neural networks,2015, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Improvedtraining of wasserstein gans,2017, arXiv:1704
 On the translocation of masses,1942, In Dokl
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Deep learning face attributes in the wild,2015, InProceedings of International Conference on Computer Vision (ICCV)
 Memoire sur la theorie des deblais et des remblais,1781, Histoire de IiAcademie Royaledes Sciences de Paris
 UnsuPervised rePresentation learning with deePconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Lld: Large logo dataset,2017, 2017
 Logo synthesis and maniPula-tion with clustered generative adversarial networks,2018, In The IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Optimal transport for applied mathematicians,2015, BirkauSer NY
 Topics in optimal transportation,2003, Number 58
 Sampling generative networks,2016, arXiv preprint arXiv:1609
 Lsun:Construction of a large-scale image dataset using deep learning with humans in the loop,2015, arXivpreprint arXiv:1506
