title,year,conference
 Diffusion-convolutional neural networks,2016, In Advances in NeuralInformation Processing Systems
 Spectral networks and locallyconnected networks on graphs,2013, arXiv preprint arXiv:1312
 A convolutional encoder modelfor neural machine translation,2016, arXiv preprint arXiv:1611
 Deep convolutional networks on graph-structureddata,2015, arXiv preprint arXiv:1506
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 Recurrentneural network based language model,2010, In Eleventh Annual Conference of the International SpeechCommunication Association
 graph2vec: Learning distributed representations of graphs,2017, CoRR
 Learning convolutional neural net-works for graphs,2016, In International conference on machine learning
 Dynamic edgeconditioned filters in convolutional neuralnetworks on graphs,2017, In Proc
 Graph attention networks,2018, In International Conference on Learning Representations
 Graph capsule convolutional neural networks,2018, arXiv preprintarXiv:1805
 Deep graph kernels,1365, In Proceedings of the 21th ACMSIGKDD International Conference on Knowledge Discovery and Data Mining
 An end-to-end deep learningarchitecture for graph classification,2018, In Proceedings of AAAI Conference on Artificial Inteligence
 Learning multi-attention convolutional neuralnetwork for fine-grained image recognition,2017, In Int
