title,year,conference
 Barycenters in the wasserstein space,2011, SIAM J
 Wasserstein gan,2017, Arxiv
 Iterativebregman projections for regularized transportation problems,2015, SIAM J
 Bagging predictors,1996, Machine learning
 Convergence of entropicschemes for optimal transport and gradient flows,2017, SIAM J
 Scaling algorithmsfor unbalanced optimal transport problems,2018, Math
 Sinkhorn distances: Lightspeed computation of optimal transport,2013, In Advances inneural information processing systems
 Fast computation of wasserstein barycenters,2014, In Proceedings ofthe 31st International Conference on Machine Learning
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Large-scale object classification using label relation graphs,2014, InEuropean Conference on Computer Vision
 Improved imagecaptioning with adversarial semantic alignment,2018, arXiv preprint arXiv:1805
 Wasserstein discriminantanalysis,2016, arXiv preprint arXiv:1608
 Learn-ing with a wasserstein loss,2015, In C
 Learning generative models with sinkhorn diver-gences,2017, Technical report
 Deep residual learning for image recog-nition,2015, CoRR
 Deep residual learning for image recog-nition,2016, In CVPR
 Deep visual-semantic alignments for generating image descrip-tions,2015, In CVPR
 Deep visual-semantic alignments for generating image descrip-tions,2015, In CVPR
 Adam: A method for stochastic optimization,2015, 2015
 From word embeddings to documentdistances,2015, In Proceedings of the 32nd International Conference on Machine Learning
 Microsoft COCO:common objects in context,2014, EECV
 Glove: Global vectors for wordrepresentation,2014, In EMNLP
 Computational optimal transport,2017, Technical report
 Improving gans using optimaltransport,2018, 2018
 Optimal transport for applied mathematicians,2015, May 2015
 Wasserstein dictionary learning: Opti-mal transport-based unsupervised nonlinear dictionary learning,2018, SIAM J
 Convolutional wasserstein distances: Efficient optimal transporta-tion on geometric domains,2015, ACM Transactions on Graphics (TOG)
 Stacked generalization,1992, Neural networks
 A unified view of multi-label performance measures,2016, CoRR
 Fast discrete distribution clustering using wasser-stein barycenter with sparse support,2017, Trans
 Frechet means in wasserstein space theory and algorithms,2017, 2017
 Places: A 10 mil-lion image database for scene recognition,2017, IEEE Transactions on Pattern Analysis and MachineIntelligence
 Learning spa-tial regularization with image-level supervisions for multi-label image classification,2017, CoRR
