title,year,conference
 Learningcontinuous semantic representations of symbolic expressions,2016, arXiv preprint arXiv:1611
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Adaptive computation time for recurrent neural networks,2016, arXiv preprintarXiv:1603
 Long short-term memory,1997, Neural computation
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In Computer Vision and Pattern Recognition (CVPR)
 Inferring algorithmic patterns with stack-augmented recurrentnets,2015, In Advances in neural information processing systems
 Neural gpus learn algorithms,2015, arXivpreprint arXiv:1511
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Imagenet classification with deep convolu-tional neural networks,2012, In Advances in neural information processing systems
 Learning to automaticallysolve algebra word problems,2014, In Proceedings of the 52nd Annual Meeting of the Association forComputational Linguistics (Volume 1: Long Papers)
 Program induction by rationale genera-tion: Learning to solve and explain algebraic word problems,2017, arXiv preprint arXiv:1705
 The algebraic mind: Integrating connectionism and cognitive science,2003, MIT press
 Sympy: symboliccomputing in python,2017, PeerJ Computer Science
 Human-level controlthrough deep reinforcement learning,2015, Nature
 Bleu: a method for automaticevaluation of machine translation,2002, In Proceedings of the 40th annual meeting on association forcomputational linguistics
 Relational recurrent neuralnetworks,2018, arXiv preprint arXiv:1806
 Measuring abstractreasoning in neural networks,2018, In International Conference on Machine Learning
 Masteringthe game of go with deep neural networks and tree search,2016, nature
 Intriguing properties of neural networks,2013, arXiv preprint arXiv:1312
 Annotating derivations: A new evaluation strategy anddataset for algebra word problems,2016, arXiv preprint arXiv:1609
 Attention is all you need,2017, In Advances in Neural InformationProcessing Systems
 Deep neural solver for math word problems,2017, InProceedings of the 2017 Conference on Empirical Methods in Natural Language Processing
 Learning to execute,2014, arXiv preprint arXiv:1410
