title,year,conference
 A compositionalobject-based approach to learning physical dynamics,2016, In International Conference on LearningRepresentations
 Deep object-centric representationsfor generalizable robot learning,2017, CoRR
 An object-oriented representation for effi-cient reinforcement learning,2008, In Proceedings of the 25th International Conference on MachineLearning
 Taking Visual MotionPrediction To New Heightfields,2017, arXiv preprint arXiv:1712
 Learning visual Predictivemodels of Physics for Playing billiards,2016, In International Conference on Learning Representations
 UnsuPervised video object segmentation for deePreinforcement learning,2018, CoRR
 Neural expectation maximization,2017, InI
 Blocks world revisited: Image understandingusing qualitative geometry and mechanics,2010, In European Conference on Computer Vision(ECCV)
 Internal physics models guideprobabilistic judgments about object dynamics,2011, In Proceedings of the 33rd annual conference ofthe cognitive science society
 3d reasoning from blocks to stability,2015, IEEETransactions on Pattern Analysis and Machine Intelligence
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In European Conference on Computer Vision
 Strategic object oriented rein-forcement learning,2018, arXiv preprint arXiv:1806
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Visual stability prediction for robotic manipulation,2017, In IEEEInternational Conference on Robotics and Automation
 Newtonianscene understanding: Unfolding the dynamics of objects in static images,2016, In IEEE Conference onComputer Vision and Pattern Recognition
 Machine Perception of Three-Dimensional Solids,1963, Outstanding Dissertationsin the Computer Sciences
 Imagining the unseen: Stability-based cuboid arrangements for scene understanding,2014, ACMSIGGRAPH Asia 2014
 Very deep convolutional networks for large-scale image recogni-tion,2014, CoRR
 Core knowledge,2007, Developmental Science
 Visual interaction networks: Learning a physics simulator from video,2017, In Advances inNeural Information Processing Systems 30
 Learning structural descriptions from examples,1970, Technical report
 Learningto see physics via visual de-animation,2017, In Advances in Neural Information Processing Systems
