title,year,conference
 Speeding up the xbox recommender system using a euclidean transformationfor inner-product spaces,2014, In RecSys
 Cover trees for nearest neighbor,2006, In ICML
 Ask the right questions: Active question reformulation withreinforcement learning,2018, In ICLR
 Emergentcommunication through negotiation,2018, arXiv preprint arXiv:1804
 Learning phrase representations using rnn encoder-decoder forstatistical machine translation,2014, arXiv preprint arXiv:1406
 Gated-attention readers for text comprehension,2016, arXiv preprint arXiv:1606
 Long short-term memory,1997, Neural computation
 Triviaqa: A large scale distantlysuPervised challenge dataset for reading comPrehension,2017, In ACL
 Adam: A method for stochastic oPtimization,2014, arXiv preprintarXiv:1412
 Relevance-based language models,2001, In SIGIR
 Emergent translation in multi-agentcommunication,2018, In ICLR
 Efficient and robust aPProximate nearest neighbor searchusing hierarchical navigable small world graPhs,2018, TPAMI
 Key-value memory networks for directly reading documents,2016, arXiv preprintarXiv:1606
 Distant suPervision for relation extractionwithout labeled data,2009, In ACL
 Task-oriented query reformulation with reinforcementlearning,2017, In EMNLP
 BPr: BayesianPersonalized ranking from imPlicit feedback,2009, In UAI
 Bidirectional attentionflow for machine comPrehension,2017, In ICLR
 Reasonet: Learning to stoP reading inmachine comPrehension,2017, In KDD
 End-to-end memory networks,2015, In NIPS
 Multi-mention learning for readingcomprehension with neural cascades,2018, In ICLR
 Newsqa: A machine comprehension dataset,2016, arXiv preprint arXiv:1611
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 Quary expansion using local and global document analysis,1996, In SIGIR
 Differentiable learning of logical rules for knowledgebase reasoning,2017, In NeurIPS
 Qanet: Combining local convolution with global self-attention for readingcomprehension,2018, In ICLR
 Terrapattern: A nearest neighborsearch service,2019, In Arxiv
