title,year,conference
 Continuous adaptation viameta-learning in nonstationary and competitive environments,2017, CoRR
 Learningto learn by gradient descent by gradient descent,2016, CoRR
 Extensions of learning-based model predictive control for real-timeapplication to a quadrotor helicopter,2012, In American Control Conference (ACC)
 Designing neural network architectures using reinforcementlearning,2016, arXiv preprint arXiv:1611
 Learning a SynaPtic learning rule,1990, UniverSit6 de Montreal
 Deep reinforcement learning in a handful of trials usingprobabilistic dynamics models,2018, arXiv preprint arXiv:1805
 Pilco: A model-based and data-efficient approach to policy search,2011, InInternational COnference on machine learning (ICML)
 A survey on policy search for robotics,2013, Foundations and TrendsRin Robotics
 Model-based policy search for automatictuning of multivariate PID controllers,2017, CoRR
 Meta-learning and universality: Deep representations and gradient descent can approxi-mate any learning algorithm,2017, CoRR
 Model-agnostic meta-learning for fast adaptation of deep networks,2017, CoRR
 Bayesian recurrent neural networks,2017, arXiv preprint arXiv:1704
 One-shot learning of manipulation skills with online dynamics adaptation andneural network priors,2015, CoRR
 Continuous deep q-learning with model-based acceleration,2016, InInternational Conference on Machine Learning
 Online system identification and adaptive control forpem fuel cell maximum efficiency tracking,2012, IEEE Transactions on Energy Conversion
 Multiplicative lstm for sequence modelling,2016, arXiv preprintarXiv:1609
 Dynamic evaluation of neural sequence models,2017, CoRR
 Human-level concept learning through probabilisticprogram induction,2015, Science
 Deepmpc: Learning deep latent features for model predictive control,2015, InRobotics: Science and Systems
 Guided policy search,2013, In International Conference on Machine Learning
 Learning to optimize,2016, arXiv preprint arXiv:1606
 Continuous controlwith deep reinforcement learning,2015, CoRR
 Optimization of perturbative pv mpptmethods through online system identification,2014, IEEE Trans
 Human-level control through deep reinforcement learning,2015, Nature
 Meta networks,2017, arXiv preprint arXiv:1703
 Learning rapid-temporal adaptations,2017, arXivpreprint arXiv:1712
 Neural network dynamics for model-based deepreinforcement learning with model-free fine-tuning,2017, CoRR
 Learning image-conditioneddynamics models for control of under-actuated legged millirobots,2017, arXiv preprint arXiv:1711
 Meta-neural networks that learn by learning,1992, In Neural Networks
 Reinforcement learning of motor skills with policy gradients,2008, Neural networks
 Learning feedback terms for reactive planning and control,2017, InProceedings 2017 IEEE International Conference on Robotics and Automation (ICRA)
 Optimization as a model for few-shot learning,2018, International Conference on LearningRepresentations (ICLR)
 Online representation learning in recurrent neural language models,2015, CoRR
 Meta reinforcement learning with latent variable gaussianprocesses,2018, arXiv preprint arXiv:1803
 One-shot learning with memory-augmentedneural networks,2016, arXiv preprint arXiv:1605
 Adaptive control of linearizable systems,1989, IEEE Transactions on Automatic Control
 Trust region policy optimization,2015, CoRR
 Mastering the game of go without human knowledge,2017, Nature
 Learning to learn: Meta-critic networks for sampleefficient learning,2017, arXiv preprint arXiv:1706
 Adaptive model predictive control forconstrained linear systems,2013, In Control Conference (ECC)
 Learning to learn: Introduction and overview,1998, In Learning to learn
 Online parameter estimation and adaptive control of permanent-magnetsynchronous machines,2010, IEEE Transactions on Industrial Electronics
 Learning to reinforcement learn,2016, arXiv preprint arXiv:1611
 Model predictive path integral control using covariance variableimportance sampling,2015, CoRR
 Information theo-retic mpc for model-based reinforcement learning,2017, In International Conference on Robotics and Automation(ICRA)
 Meta-learning with backpropagation,2001, In International JointConference on Neural Networks
