title,year,conference
 Mad max: Affine spline insights into deep learning,2018, arXiv preprintarXiv:1805
 A spline theory of deep networks,2018, In Proc
 Assessing a mixture model for clustering with the integrated com-pleted likelihood,2000, IEEE Trans
 Reorthogonalization and stable algorithms forupdating the Gram-Schmidt QR factorization,1976, Math
 Vector Quantization and Signal Compression,2012, Springer
 Factorial learning and the em algorithm,1995, In Advances in neural information processingsystems
 Factorial hidden Markov models,1996, In Advances in Neural InformationProcessing Systems
 Convex piecewise-linear fitting,2009, Optim
 Image coding using vector quantization: A review,1988, IEEE Trans
 Searching for activation functions,2017, arXiv:1710
 Understanding locally competitive networks,2014, arXivpreprint arXiv:1410
 Parametric exponential linear unit for deep convolutional neural net-works,2017, pp
 CRC Concise Encyclopedia of Mathematics,2002, CRC press
 A minimum description length framework for unsupervised learning,1994, Citeseer
