title,year,conference
 Harmonising chorales by probabilistic inference,2005, Advancesin neural information processing systems
 Musegan: Multi-track sequentialgenerative adversarial networks for symbolic music generation and accompaniment,2018, In Proceedingsof the AAAI Conference on Artificial Intelligence
 Finding temporal structure in music: Blues improvisationwith lstm recurrent networks,2002, In Proceedings of the 12th IEEE Workshop on Neural Networks forSignal Processing
 Style imitation and chord invention inpolyphonic music with exponential families,2016, arXiv preprint arXiv:1609
 Deepbach: a steerable model for bach choralesgeneration,2017, In International Conference on Machine Learning
 Enabling factorized piano music modelingand generation with the maestro dataset,2019, In International Conference on Learning Representations
 A fast learning algorithm for deep beliefnets,2006, Neural computation
 Coun-terpoint by convolution,2017, In Proceedings of the International Conference on Music InformationRetrieval
 The neural autoregressive distribution estimator,2011, In AISTATS
 Bachbot: Automatic composition in the style of bach chorales,2016, Masters thesis
 Generating wikipedia by summarizing long sequences,2018, In Proceedings of the InternationalConference on Learning Representations
 This time withfeeling: Learning expressive musical performance,2018, arXiv preprint arXiv:1808
 A decomposable attentionmodel for natural language inference,2016, In Proceedings of the Conference on Empirical Methods inNatural Language Processing
 A time-restrictedself-attention layer for ASR,2018, In Proceddings of the IEEE International Conference on Acoustics
 Self-attention with relative position representa-tions,2018, In Proceedings of the Conference of the North American Chapter of the Association forComputational Linguistics: Human Language Technologies
 A deep and tractable density estimator,2014, InInternational Conference on Machine Learning
 Attention is all you need,2017, In Advances in Neural InformationProcessing Systems
 Tensor2tensor for neural machine translation,2018, CoRR
