title,year,conference
 Classification parameters for theemission-line spectra of extragalactic objects,1981, PASP
 Sylvesternormalizing flows for variational inference,2018, arXiv:1803
 Model based inversion for deriving maps of histologicalparameters characteristic of cancer from ex-vivo multispectral images of the colon,2013, IEEETrans Med Imaging
 Nonlinear higher-order statistical decorrelation byvolume-conserving neural architectures,1995, Neural Networks
 NICE: Non-linear independent componentsestimation,2014, arXiv:1410
 Semanticallydecomposing the latent spaces of generative adversarial networks,2017, arXiv:1705
 Adversarially learned inference,2016, arXiv:1606
 Bayesian convolutional neural networks with Bernoulliapproximate variational inference,2015, arXiv:1506
 MADE: Maskedautoencoder for distribution estimation,2015, In International Conference on Machine Learning
 The reversible residualnetwork: Backpropagation without storing activations,2017, In Advances in Neural InformationProcessing Systems
 Flow-GAN: Combining maximum likelihoodand adversarial learning in generative models,2017, arXiv:1705
 Hallmarks of cancer: The next generation,0092, Cell
 Neural autore-gressive flows,2018, arXiv:1804
 Nonlinear independent component analysis: Existenceand uniqueness results,1999, Neural Networks
 Image-to-image translationwith conditional adversarial networks,2017, In CVPR
 i-RevNet: Deep invertiblenetworks,2018, arXiv:1802
 Glow: Generative flow with invertible 1x1convolutions,2018, arXiv:1807
 Variational dropout and the localreparameterization trick,2015, In Advances in Neural Information Processing Systems
 Improved variational inference with inverse autoregressive flow,2016, In Advances inNeural Information Processing Systems
 PixelCNN models with auxiliary variablesfor natural image modeling,2017, In International Conference on Machine Learning
 Conditional generative adversarial nets,2014, arXiv:1411
 Conditional image generation with PixelCNN decoders,2016, In Advancesin Neural Information Processing Systems
 Fast ε-free inference of simulation models withbayesian conditional density estimation,2016, In Advances in Neural Information ProcessingSystems
 Masked autoregressive flow fordensity estimation,2017, In Advances in Neural Information Processing Systems
 Structure and feedback in 30Doradus,2011, II
 Winds andradiation in unison: A new semi-analytic feedback model for cloud dissolution,2017, MonthlyNotices of the Royal Astronomical Society
 Radiative transfer with polaris: I,2016, analysisof magnetic fields through synthetic dust continuum polarization measurements
 Variational inference with normalizing flows,2015, InInternational Conference on Machine Learning
 High-dimensional probability estimation with deepdensity models,2013, arXiv:1302
 Monte Carlo Statistical Methods,2004, Springer
 Training generative reversiblenetworks,2018, arXiv:1806
 Learning structured output representationusing deep conditional generative models,2015, In Advances in Neural Information ProcessingSystems
 Approximate bayesian computation,2013, PLoS computationalbiology
 Density estimation by dual ascent of thelog-likelihood,2010, Communications in Mathematical Sciences
 Invertible autoencoder for domainadaptation,2018, arXiv:1802
 Improving variational auto-encoders using householderflow,2016, arXiv:1611
 Conditional density estimation with bayesiannormalising flows,2018, arXiv:1802
 Unpaired image-to-imagetranslation using cycle-consistent adversarial networks,2017, In CVPR
 Toward multimodal image-to-image translation,2017, In Advances in NeuralInformation Processing Systems
