title,year,conference
 Emergent Com-plexity via Multi-Agent Competition,2017, 2017
 Learning Phrase Representations using RNN Encoder-Decoder forStatistical Machine Translation,2014, 2014
 Guest Editorial: A Revolution in the Warehouse: A Retrospective on KivaSystems and the Grand Challenges Ahead,1545, IEEE Transactions on Automation Science and10Published as a conference paper at ICLR 2019Engineering
 IMPALA:Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018, arXiv
 Learning to Com-municate with Deep Multi-Agent Reinforcement Learning,2016, 2016
 Learning with Opponent-Learning Awareness,2017, 2017
 NeuralMessage Passing for Quantum Chemistry,2017, 2017
 Metacontrol for Adaptive Imagination-Based Optimization,2017, 2017
 Opponent Modeling in Deep Reinforce-ment Learning,2016, arXiv
 A DeepPolicy Inference Q-Network for Multi-Agent Systems,2017, 2017
 VAIN: Attentional Multi-agent Predictive Modeling,2017, arXiv
 Inequity aversion resolves intertemporal social dilemmas,2018, arXiv
 Neural RelationalInference for Interacting Systems,2018, arXiv
 A Unified Game-Theoretic Approach to Multiagent Reinforce-ment Learning,2017, Advances in Neural Information Processing Systems 30
 Multi-agentReinforcement Learning in Sequential Social Dilemmas,2017, Proceedings of the 16th Conferenceon Autonomous Agents and MultiAgent Systems
 Maintaining cooperation in complex social dilemmasusing deep reinforcement learning,2017, CoRR
 Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,2017, arXiv
 On the importanceof single directions for generalization,2018, 2018
 Learning model-based planningfrom scratch,2017, 2017
 Consequentialist conditional cooperation in socialdilemmas with imperfect information,2017, arXiv
 Prosocial learning agents solve generalized Stag Huntsbetter than selfish ones,2017, arXiv
 Machine Theory of Mind,2018, arXiv
 Modeling Others using Oneselfin Multi-Agent Reinforcement Learning,2018, arXiv preprint arXiv:1902
 A simple neural network module for relational reasoning,2017, arXiv
 Thegraph neural network model,2009, IEEE Transactions on Neural Networks
 Learning Multiagent Communication withBackpropagation,2016, arXiv
 Visual Interaction Networks,2017, arXiv
 Imagination-Augmented Agents for Deep Reinforcement Learning,2017, 2017
 Understanding Neural Net-works Through Deep Visualization,2015, 2015
 Relational Deep ReinforcementLearning,2018, 2018
 Visualizing and Understanding Convolutional Networks,2013, 2013
 Generative Multi-AgentBehavioral Cloning,2018, 2018
 Generating Long-term Trajectories Using DeepHierarchical Networks,2017, 2017
