title,year,conference
 Maintaining knowledge about temporal intervals,1983, CACM
 Cophy: Counter-factual learning of physical dynamics,2020, In ICLR
 Revisiting the effectiveness of off-the-shelf temporal modeling ap-proaches for large-scale video classification,2017, arXiv preprint arXiv:1708
 Procedural generation of videos to traindeep action recognition networks,2017, In CVPR
 Long-term recurrent convolutional networks for visualrecognition and description,2015, TPAMI
 Learning to detect carried objects with minimalsupervision,2013, In CVPR Workshops
 CARLA:An open urban driving simulator,2017, In CoRL
 Spatiotemporal residual networks forvideo action recognition,2016, In NIPS
 A new method for real timeabandoned object detection and owner tracking,2006, In ICIP
 Unsupervised learning for physical interactionthrough video prediction,2016, In NeurIPS
 From lifestyle VLOGs toeveryday interactions,2018, In CVPR
 Learning a predictable andgenerative vector representation for objects,2016, In ECCV
 ActionVLAD:Learning spatio-temporal aggregation for action classification,2017, In CVPR
 The” something something” videodatabase for learning and evaluating visual common sense,2017, In ICCV
 Ava: A video dataset of spatio-temporally localized atomic visual actions,2018, InCVPR
 Deep residual learning for image recog-nition,2016, In CVPR
 Mask R-CNN,2017, In ICCV
 Human action recognition withouthuman,2016, In ECCV Workshops
 Long short-term memory,1997, Neural computation
 Video-based event recognition: activityrePresentation and Probabilistic recognition methods,2004, CVIU
 Densely connectedconvolutional networks,2017, In CVPR
 CLEVR: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In CVPR
 Large-scale video classification with convolutional neural networks,2014, In CVPR
 The kinetics human actionvideo dataset,2017, arXiv preprint arXiv:1705
 Viz-doom: A doom-based ai research platform for visual reinforcement learning,2016, In CIG
 AI2-THOR: An Interactive 3D Environment for Visual AI,2017, arXiv
 HMDB: a large video database forhuman motion recognition,2011, In ICCV
 On sPace-time interest Points,2005, IJCV
 Understanding video events: A survey of methodsfor automatic interPretation of semantic occurrences in video,2009, Transactions on Systems
 Resound: Towards action recognition without rePresen-tation bias,2018, In ECCV
 Attention clusters:Purely attention based local feature integration for video classification,2018, In CVPR
 Sideways: DePth-Parallel training of video models,2020, arXiv preprint arXiv:2001
 Learnable pooling with context gating for videoclassification,2017, arXiv:1706
 Towards accurate multi-person pose estimation in the wild,2017, In CVPR
 Grounding action descriptions in videos,2013, ACL
 Playing for benchmarks,2017, In ICCV
 Intphys: A framework and benchmark for visual intuitive physicsreasoning,2018, arXiv preprint arXiv:1803
 First-person Pose recognition using ego-centric workspaces,2015, In CVPR
 A database for finegrained activity detection of cooking activities,2012, In CVPR
 Script data for attribute-based recognition of composite activities,2012, In ECCV
 Recognizing human actions: a local svmapproach,2004, In ICPR
 Airsim: High-fidelity visual andphysical simulation for autonomous vehicles,2018, In FSR
 NTU RGB+D: A Large Scale Datasetfor 3D Human Activity Analysis,2016, In CVPR
 Vidmap: video monitoring of activity withprolog,2005, In AVSS
 Reasoning about change: time and causation from the standpoint of artificial intelli-gence,1987, Technical report
 Two-stream convolutional networks for action recognitionin videos,2014, In NIPS
 Unsupervised learning of videorepresentations using lstms,2015, In ICML
 Render for cnn: Viewpoint estimationin images using cnns trained with rendered 3d model views,2015, In ICCV
 TV-LI Optical Flow Estima-tion,2013, Image Processing On Line
 Robustdetection of abandoned and removed objects in complex surveillance videos,2011, IEEE Transactionson Systems
 Human pose forecasting via deepmarkov models,2017, In DICTA
 Learning spa-tiotemporal features with 3d convolutional networks,2015, In ICCV
 A closerlook at spatiotemporal convolutions for action recognition,2018, In CVPR
 The daily home life activitydataset: A high semantic activity dataset for online recognition,2017, In FG
 Long-term Temporal Convolutions for Action Recog-nition,2017, TPAMI
 Learning from Synthetic Humans,2017, In CVPR
 Action recognition with improved trajectories,2013, In ICCV
 Action Recognition by DenseTrajectories,2011, In CVPR
 MoFAP: A multi-level representation for action recogni-tion,2016, IJCV
 Non-local neural networks,2018, InCVPR
 Single image 3d interpreter network,2016, In ECCV
 Building generalizable agents with arealistic and rich 3d environment,2018, In ICLR Workshops
 Rethinking spatiotem-poral feature learning for video understanding,2017, arXiv preprint arXiv:1712
 Spatial temporal graph convolutional networks forskeleton-based action recognition,2018, In AAAI
 Clevrer: Collision events for video representation and reasoning,2020, In ICLR
 Distractor-aware siamesenetworks for visual object tracking,2018, In ECCV
 Adopting abstract images for se-mantic scene understanding,2016, TPAMI
