title,year,conference
 Mincut pooling in graph neuralnetworks,2019, arXiv preprint arXiv:1907
 Approximation by superpositions of a sigmoidal function,1989, Mathematics of control
 Convolutional networks on graphs for learning molecularfingerprints,2015, In Advances in neural information processing systems
 Survey of distributed decision,2016, arXiv preprintarXiv:1606
 Distributed minimum cut approximation,2013, In InternationalSymposium on Distributed Computing
 Multilayer feedforward networks areuniversal approximators,1989, Neural networks
 An efficient graph convolutional networktechnique for the travelling salesman problem,2019, arXiv preprint arXiv:1906
 Universal invariant and equivariant graph neural networks,2019, arXivpreprint arXiv:1905
 Deterministic subgraph detection in broadcast congest,2018, In21st International Conference on Principles of Distributed Systems (OPODIS 2017)
 Gated graph sequence neuralnetworks,2015, arXiv preprint arXiv:1511
 Lanczosnet: Multi-scale deepgraph convolutional networks,2019, In International Conference on Learning Representations (ICLR)
 Break the ceiling: Stronger multi-scale deep graph convolutional networks,2019, arXiv preprint arXiv:1906
 On the universality of invariantnetworks,2019, arXiv preprint arXiv:1901
 Weisfeiler and leman go neural: Higher-order graph neural networks,2019, InProceedings ofthe AAAI Conference on Artificial Intelligence
 Distributed Computing: A Locality-Sensitive Approach,2000, Society for Industrial and AppliedMathematics
 On the turing completeness of modern neuralnetwork architectures,2019, arXiv preprint arXiv:1901
 Approximation ratios of graph neural networksfor combinatorial problems,2019, In Advances in Neural Information Processing Systems
 Survey of local algorithms,2013, ACM Computing Surveys (CSUR)
