title,year,conference
 Neural combinatorialoptimization with reinforcement learning,2016, arXiv:1611
 Learning to perform local rewriting for combinatorial optimiza-tion,2019, arXiv:1810
 Scheduling of vehicles from a central depot to a number of deliverypoints,1964, Operations Research
 The truck dispatching problem,1959, Management Science
 Robust branch-and-cut-and-price for the capacitated vehiclerouting problem,2006, Mathematical Programming
 Neural turing machines,2014, arXiv:1410
 An extension of the Lin-Kernighan-Helsgaun TSP solver for constrained travelingsalesman and vehicle routing problems,2017, Technical report
 Learning the multiple traveling salesmen problem with permutationinvariant pooling networks,2018, arXiv:1803
 A survey on the vehicle routing problem andits variants,2012, Intelligent Information Management
 On learning and branching: a survey,2017, Top
 Boosting combinatorial problem modeling with machinelearning,2018, arXiv:1807
 Reinforcementlearning for solving the vehicle routing problem,2018, In Advances in Neural Information ProcessingSystems
 Graph attention networks,2017, arXiv:1710
 Pointer networks,2015, In Advances in NeuralInformation Processing Systems
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
