title,year,conference
 Flashrelate: Extracting relationaldata from semi-structured spreadsheets using examples,2014, In PLDI ’15 Proceedings of the 36thACM SIGPLAN Conference on Programming Language Design and Implementation
 Program synthesis for character level languagemodeling,2017, In 5rd International Conference on Learning Representations
 Programming with adifferentiable forth interpreter,2017, In Doina Precup and Yee Whye Teh (eds
 Programming with adifferentiable forth interpreter,2017, In Doina Precup and Yee Whye Teh (eds
 Towards synthesizing complex programs from input-output examples,2018, In International Conference on Learning Representations
 Qlose: Program repair with quantiativeobjectives,2016, In 27th International Conference on Computer Aided Verification (CAV 2016)
 Z3: An efficient Smt solver,2008, In Proceedings of theTheory and Practice of Software
 Rico: A mobile app dataset for building data-driven design applica-tions,2017, In Proceedings of the 30th Annual Symposium on User Interface Software and Technology
 Learning to infer graph-ics programs from hand-drawn images,2018, In S
 In H,2019, Wallach
 Automating string processing in spreadsheets using input-output examples,2011, InThomas Ball and Mooly Sagiv (eds
 Semi-automated svg programming via direct manipulation,2016, InProceedings of the 29th Annual Symposium on User Interface Software and Technology
 Flashextract: a framework for data extraction by examples,2014, In MichaelF
 Accelerating search-based program syn-thesis using learned probabilistic models,2018, In Proceedings of the 39th ACM SIGPLAN Conferenceon Programming Language Design and Implementation
 Learning programs: A hierarchical bayesian ap-Proach,2010, In Johannes Furnkranz and Thorsten Joachims (eds
 JUngloid mining: Helping tonavigate the aPi jungle,2005, In Proceedings of the 2005 ACM SIGPLAN Conference on ProgrammingLanguage Design and Implementation
 Bayesian sketch learning for pro-gram synthesis,2017, CoRR
 Learningto infer program sketches,2019, In Proceedings of the 36th International Conference on MachineLearning
 Neuro-symbolic program synthesis,2017, In 5th International Conference on LearningRepresentations
 Learning programs fromnoisy data,2016, In Rastislav Bodik and Rupak Majumdar (eds
 Neural programmer-interpreters,2016, In International Conference onLearning Representations (ICLR)
 Stochastic program optimization,2016, Commun
 Program synthesisand semantic parsing with learned code idioms,2019, In H
 Improving neural program synthesis with inferredexecution traces,2018, In S
 Blinkfill: Semi-supervised programming by example for syntactic string transfor-mations,2016, PVLDB
 Automated feedback generation forintroductory programming assignments,2013, In Proceedings of the 34th ACM SIGPLAN Conferenceon Programming Language Design and Implementation
 Neural program synthesisfrom diverse demonstration videos,2018, In Jennifer Dy and Andreas Krause (eds
03Candidate OutputsCandidate 1IncorrectScore: 0,1256,01Candidate 1IncorrectScore: 0
