title,year,conference
 Learning to learn by gradient descent by gradientdescent,2016, ArXiv
 In Jennifer G,2018, Dy and AndreasKrause (eds
 First superhuman visual pattern recognition,2011, IJCNN
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Adaptive subgradient methods for online learningand stochastic optimization,2010, J
 Hotflip: White-box adversarial examplesfor text classification,2017, In ACL
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, In ICML
 Born-again neural networks,2018, In ICML
 Conditional neural pro-cesses,2018, ArXiv
 Explaining and harnessing adversarialexamples,2015, In International Conference on Learning Representations
 Achieving human parity onautomatic chinese to english news translation,2018, ArXiv
 Deep residual learning for image recog-nition,2015, 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Evolved policy gradients,2018, ArXiv
 Densely connectedconvolutional networks,2016, 2017 IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Adam: A method for stochastic optimization,2014, CoRR
 Overcoming catastrophic for-getting in neural networks,2016, Proceedings of the National Academy of Sciences of the United Statesof America
 Conditional computation for continual learning,2019, ArXiv
 Connectionist models of recognition memory: constraints imposed by learning andforgetting functions,1990, Psychological review
 Mastering the gameof go with deep neural networks and tree search,2016, Nature
 Super-convergence: Very fast training of residual networksusing large learning rates,2017, ArXiv
 Intriguing properties of neural networks,2013, CoRR
 Rethinkingthe inception architecture for computer vision,2015, 2016 IEEE Conference on Computer Vision andPatternRecognition (CVPR)
 Lecture 6,2012,5—RmsProp: Divide the gradient by a running average of itsrecent magnitude
 Visualizing data using t-sne,2008, 2008
 Attention is all you need,2017, In I
 Universal adversarialtriggers for attacking and analyzing nlp,2019, 2019
 Adversarial examples: Attacks and defensesfor deep learning,2017, IEEE Transactions on Neural Networks and Learning Systems
 Adadelta: An adaptive learning rate method,2012, ArXiv
