title,year,conference
 A survey of robot learningfrom demonstration,2009, Robotics and autonomous systems
 Wasserstein gan,2017, arXiv preprintarXiv:1701
 Robot programming bydemonstration,2008, Springer handbook of robotics
 Learning robust rewards with adversarial inverse rein-forcement learning,2017, arXiv preprint arXiv:1710
 Learning self-imitating diverse policies,2018, arXivpreprint arXiv:1805
 Generative adversarial self-imitationlearning,2018, arXiv preprint arXiv:1812
 Learning invariantfeature spaces to transfer skills with reinforcement learning,2017, arXiv preprint arXiv:1703
 Generative adversarial imitation learning,2016, In Advances in NeuralInformation Processing Systems
 Internal modelfrom observations for reward shaping,2018, arXiv preprint arXiv:1806
 Continuous control with deep reinforcement learning,2015, arXivpreprint arXiv:1509
 Human-levelcontrol through deep reinforcement learning,2015, Nature
 Learning agents for uncertain environments,1998, In COLT
 High-dimensional continuous control using generalized advantage estimation,2015, arXiv preprintarXiv:1506
 Proximal PolicyoPtimization algorithms,2017, arXiv preprint arXiv:1707
 Masteringthe game of go with deeP neural networks and tree search,2016, nature
 Third-Person imitation learning,2017, arXiv preprintarXiv:1703
 Provably efficient imitation learn-ing from observation alone,2019, arXiv preprint arXiv:1905
 Behavioral cloning from observation,2018, arXiv preprintarXiv:1805
 Modeling PurPoseful adaPtive behavior with the PrinciPle of maximum causalentroPy,2010, 2010
 Maximum entroPy inversereinforcement learning,2008, In AAAI
